tourId,departureTimeInSec,departureLocationZone,maxTourDurationInSec,departureLocationX,departureLocationY,mesoZone
b2b-3563,46800,530530732004,43200,-122.26414670758322,46.919109706620354,20010.0
b2b-24686,33600,530610413042,43200,-122.25293259622207,47.92372250332633,530610413042.0
b2b-7169,21600,530610533014,43200,-122.37059661370526,48.24852257941998,530579519002.0
b2b-50306,34200,530330292061,43200,-122.24430362016086,47.404953004401456,530330292061.0
b2b-2151,39000,530610408002,43200,-122.20906283945071,47.98198458289844,530610408002.0
b2b-52072,47400,530530701001,43200,-121.54386999168173,47.120779204437994,20009.0
b2b-55690,51000,530610535091,43200,-122.15068779363946,48.15657195991295,530610535091.0
b2b-54908,18000,530330292061,43200,-122.2241763247837,47.41949520674919,530330292061.0
b2b-60920,20400,530610533014,43200,-122.37059661370526,48.24852257941998,530579521003.0
b2b-15934,25800,530330219061,43200,-122.15532331255879,47.7374537884691,530330219061.0
b2b-41077,29400,530530701001,43200,-121.54386999168173,47.120779204437994,20071.0
b2b-36275,27600,530530732003,43200,-122.23649758405864,46.784130666282756,410510072021.0
b2b-13429,43200,530330099004,43200,-122.34510238866469,47.571492216583756,530330099004.0
b2b-116,38400,530610418052,43200,-122.22335452385012,47.908328392569594,530610418052.0
b2b-43311,33000,530330006004,43200,-122.342115428293,47.70746967008405,530330006004.0
b2b-3215,21600,530610531021,43200,-122.18921914405846,48.15037009988364,530610531021.0
b2b-13552,51600,530530732003,43200,-122.23649758405864,46.784130666282756,530110413311.0
b2b-53846,43200,530530626002,43200,-122.4754016560541,47.22254054103155,530530626002.0
b2b-61044,32400,530610533014,43200,-122.37059661370526,48.24852257941998,530730002003.0
b2b-39600,1800,530610537001,43200,-121.31296454602099,48.047210789371114,530630122001.0
b2b-41669,25200,530530732003,43200,-122.23649758405864,46.784130666282756,530110410052.0
b2b-36506,26400,530330292061,43200,-122.2442241533272,47.406123296512554,530330292061.0
b2b-56104,36000,530330304011,43200,-122.29970358989561,47.291791809275026,530330304011.0
b2b-35148,33600,530610528031,43200,-122.17854580517385,48.15218269253767,530610528031.0
b2b-3776,27000,530610537001,43200,-121.31296454602099,48.047210789371114,530630141002.0
b2b-24124,25200,530330099004,43200,-122.3507701878964,47.57124123344717,530330099004.0
b2b-15498,23400,530330093002,43200,-122.32770396922236,47.59550912228994,530330093002.0
