carrierId,tourId,vehicleId,vehicleTypeId,warehouseZone,warehouseX,warehouseY,mesoZone,vehicleTypeIdOrig,vehicleIdOrig
6317194-1-mdv,b2b-16723,ft-f88a5d,ft-mdv-Dsl,530330308011,-122.2423752095219,47.27895315046367,530330308011.0,mdv_D_Diesel,b2b--c33-20738
6317194-1-mdv,b2b-16727,ft-cd423e,ft-mdv-Dsl,530330308011,-122.2423752095219,47.27895315046367,530330308011.0,mdv_D_Diesel,b2b--c33-20849
6317194-1-mdv,b2b-16733,ft-b3dd0e,ft-mdv-Dsl,530330308011,-122.2423752095219,47.27895315046367,530330308011.0,mdv_D_Diesel,b2b--c33-20855
7362687-1-mdv,b2b-16746,ft-0ade80,ft-mdv-Dsl,530330228033,-122.1249618262801,47.646074380115515,530330228033.0,mdv_D_Diesel,b2b--c33-20903
7362687-1-mdv,b2b-16759,ft-838d5f,ft-mdv-Dsl,530330228033,-122.1249618262801,47.646074380115515,530330228033.0,mdv_D_Diesel,b2b--c33-20916
7362687-1-mdv,b2b-16769,ft-9a1f73,ft-mdv-Dsl,530330228033,-122.1249618262801,47.646074380115515,530330228033.0,mdv_D_Diesel,b2b--c33-20926
7362687-1-mdv,b2b-16770,ft-565d4f,ft-mdv-Dsl,530330228033,-122.1249618262801,47.646074380115515,530330228033.0,mdv_D_Diesel,b2b--c33-20927
7362687-1-mdv,b2b-16776,ft-c86f51,ft-mdv-Dsl,530330228033,-122.1249618262801,47.646074380115515,530330228033.0,mdv_D_Diesel,b2b--c33-20933
7362687-1-mdv,b2b-16778,ft-42d1e6,ft-mdv-Dsl,530330228033,-122.1249618262801,47.646074380115515,530330228033.0,mdv_D_Diesel,b2b--c33-20935
7362687-1-mdv,b2b-16780,ft-838dd7,ft-mdv-Dsl,530330228033,-122.1249618262801,47.646074380115515,530330228033.0,mdv_D_Diesel,b2b--c33-20937
7362687-1-mdv,b2b-16792,ft-f80809,ft-mdv-Dsl,530330228033,-122.1249618262801,47.646074380115515,530330228033.0,mdv_D_Diesel,b2b--c33-20949
7362687-1-mdv,b2b-16793,ft-19e75d,ft-mdv-Dsl,530330228033,-122.1249618262801,47.646074380115515,530330228033.0,mdv_D_Diesel,b2b--c33-20950
7362687-1-mdv,b2b-16804,ft-af45f9,ft-mdv-Dsl,530330228033,-122.1249618262801,47.646074380115515,530330228033.0,mdv_D_Diesel,b2b--c33-20961
7362687-1-mdv,b2b-16813,ft-8f1d57,ft-mdv-Dsl,530330228033,-122.1249618262801,47.646074380115515,530330228033.0,mdv_D_Diesel,b2b--c33-21336
7362687-1-mdv,b2b-16816,ft-e17ac6,ft-mdv-Dsl,530330228033,-122.1249618262801,47.646074380115515,530330228033.0,mdv_D_Diesel,b2b--c33-21339
7362687-1-mdv,b2b-16818,ft-7e09d4,ft-mdv-Dsl,530330228033,-122.1249618262801,47.646074380115515,530330228033.0,mdv_D_Diesel,b2b--c33-21341
7362687-1-mdv,b2b-16821,ft-b3e3fb,ft-mdv-Dsl,530330228033,-122.1249618262801,47.646074380115515,530330228033.0,mdv_D_Diesel,b2b--c33-21344
7362687-1-mdv,b2b-16823,ft-de6131,ft-mdv-Dsl,530330228033,-122.1249618262801,47.646074380115515,530330228033.0,mdv_D_Diesel,b2b--c33-21346
7362687-1-mdv,b2b-16827,ft-25be24,ft-mdv-Dsl,530330228033,-122.1249618262801,47.646074380115515,530330228033.0,mdv_D_Diesel,b2b--c33-21350
7362687-1-mdv,b2b-16834,ft-79915d,ft-mdv-Dsl,530330228033,-122.1249618262801,47.646074380115515,530330228033.0,mdv_D_Diesel,b2b--c33-21357
7362687-1-mdv,b2b-16852,ft-06d9cd,ft-mdv-Dsl,530330228033,-122.1249618262801,47.646074380115515,530330228033.0,mdv_D_Diesel,b2b--c33-21375
7362687-1-mdv,b2b-16858,ft-d8da94,ft-mdv-Dsl,530330228033,-122.1249618262801,47.646074380115515,530330228033.0,mdv_D_Diesel,b2b--c33-21381
7362201-1-mdv,b2b-16864,ft-f95e5c,ft-mdv-Gas,530330226052,-122.14424617896135,47.6838583267566,530330226052.0,mdv_G_Gasoline,b2b--c33-21387
7362201-1-mdv,b2b-16866,ft-67380,ft-mdv-Gas,530330226052,-122.14424617896135,47.6838583267566,530330226052.0,mdv_G_Gasoline,b2b--c33-21389
7362201-1-mdv,b2b-16895,ft-b6823b,ft-mdv-Gas,530330226052,-122.14424617896135,47.6838583267566,530330226052.0,mdv_G_Gasoline,b2b--c33-21418
7362201-1-mdv,b2b-16903,ft-02058d,ft-mdv-Gas,530330226052,-122.14424617896135,47.6838583267566,530330226052.0,mdv_G_Gasoline,b2b--c33-21638
7362201-1-mdv,b2b-16915,ft-84deb7,ft-mdv-Gas,530330226052,-122.14424617896135,47.6838583267566,530330226052.0,mdv_G_Gasoline,b2b--c33-21650
7362201-1-mdv,b2b-16924,ft-229391,ft-mdv-Gas,530330226052,-122.14424617896135,47.6838583267566,530330226052.0,mdv_G_Gasoline,b2b--c33-21659
7366292-1-mdv,b2b-16937,ft-43ebaf,ft-mdv-Dsl,530330109001,-122.3069861558878,47.53067185195029,530330109001.0,mdv_D_Diesel,b2b--c33-21675
