taz,parkingType,chargingPointType,housingType,propertyType,county,locationX,locationY,parkingZoneId,reservedFor,pricingModel,feeInCents,numStalls
,Public,noCharger,non-res,,,-122.3406374,47.61623598700007,523989,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3230798,47.60338437150003,524001,Any,Block,0,10
,Public,noCharger,non-res,,,-122.340513,47.61616971850006,524042,Any,Block,0,11
,Public,noCharger,non-res,,,-122.3429808,47.61424091350005,524051,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3473084,47.614430322500056,524076,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3553433,47.61818009250004,524084,Any,Block,0,5
,Public,noCharger,non-res,,,-122.345573,47.612236406500045,524139,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3434251,47.61565836950007,524368,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3416127,47.61505982300005,524492,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3245068,47.613784391500076,524507,Any,Block,0,1
,Public,noCharger,non-res,,,-122.3235962,47.60316838850005,524637,Any,Block,0,8
,Public,noCharger,non-res,,,-122.3529578,47.613665344000054,524717,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3466165,47.61519426800006,524747,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3421333,47.61489609300005,524825,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3458003,47.61381799450007,524852,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3405341,47.60638726950006,524927,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3356376,47.59855268250004,525035,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3452858,47.614428134000036,525045,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3417195,47.61699318400005,525208,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3464307,47.61508801700004,525213,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3422757,47.614969291500074,525220,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3471387,47.61831697750006,525232,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3281285,47.602404841000066,525264,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3340469,47.59383032050005,525324,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3387734,47.617697825500045,525378,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3347378,47.61822370300004,525460,Any,Block,0,2
,Public,noCharger,non-res,,,-122.347069,47.61827935400004,525505,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3340471,47.59364670350007,525553,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3451437,47.614342273000034,525567,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3475333,47.61247770700004,525616,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3340462,47.59441954150006,525620,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3432313,47.61623293750006,525740,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3527705,47.613554178000044,525944,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3418503,47.61706695850003,525971,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3440976,47.615138635500074,525972,Any,Block,0,7
,Public,noCharger,non-res,,,-122.3458536,47.61201925000006,526023,Any,Block,0,6
