carrierId,tourId,vehicleId,vehicleTypeId,warehouseZone,warehouseX,warehouseY
b2b-all-814334-1-915hdv-d,b2b-all-814334-1-915hdv-d-6865,b2b-all-814334-1-915hdv-d-44092,freight-hdv-D-Diesel-Baseline,3858,-122.34822325177603,48.27958728954206
b2b-all-817281-1-916hdt-d,b2b-all-817281-1-916hdt-d-6866,b2b-all-817281-1-916hdt-d-44108,freight-hdt-D-Diesel-Baseline,1828,-122.36973471415656,47.45751101346177
b2b-all-817281-1-917hdt-d,b2b-all-817281-1-917hdt-d-6867,b2b-all-817281-1-917hdt-d-44127,freight-hdt-D-Diesel-Baseline,1828,-122.36973471415656,47.45751101346177
b2b-all-817281-1-917hdt-d,b2b-all-817281-1-917hdt-d-6868,b2b-all-817281-1-917hdt-d-44128,freight-hdt-D-Diesel-Baseline,1828,-122.36973471415656,47.45751101346177
b2b-all-817281-1-917hdt-d,b2b-all-817281-1-917hdt-d-6869,b2b-all-817281-1-917hdt-d-44129,freight-hdt-D-Diesel-Baseline,1828,-122.36973471415656,47.45751101346177
b2b-all-817805-1-918hdt-d,b2b-all-817805-1-918hdt-d-6870,b2b-all-817805-1-918hdt-d-44150,freight-hdt-D-Diesel-Baseline,1144,-122.37482260437318,47.640720923467725
b2b-all-817805-1-919hdt-d,b2b-all-817805-1-919hdt-d-6871,b2b-all-817805-1-919hdt-d-44171,freight-hdt-D-Diesel-Baseline,1144,-122.37482260437318,47.640720923467725
b2b-all-818245-1-920hdt-d,b2b-all-818245-1-920hdt-d-6872,b2b-all-818245-1-920hdt-d-44189,freight-hdt-D-Diesel-Baseline,1867,-122.32793985773051,47.41759915085237
b2b-all-818245-1-920hdt-d,b2b-all-818245-1-920hdt-d-6873,b2b-all-818245-1-920hdt-d-44190,freight-hdt-D-Diesel-Baseline,1867,-122.32793985773051,47.41759915085237
b2b-all-818245-1-920hdt-d,b2b-all-818245-1-920hdt-d-6874,b2b-all-818245-1-920hdt-d-44191,freight-hdt-D-Diesel-Baseline,1867,-122.32793985773051,47.41759915085237
b2b-all-818245-1-920hdt-d,b2b-all-818245-1-920hdt-d-6875,b2b-all-818245-1-920hdt-d-44192,freight-hdt-D-Diesel-Baseline,1867,-122.32793985773051,47.41759915085237
b2b-all-8211712-3-921hdt-d,b2b-all-8211712-3-921hdt-d-6876,b2b-all-8211712-3-921hdt-d-44217,freight-hdt-D-Diesel-Baseline,3857,-122.28977616532808,48.27129900543613
b2b-all-8211712-3-921hdt-d,b2b-all-8211712-3-921hdt-d-6877,b2b-all-8211712-3-921hdt-d-44218,freight-hdt-D-Diesel-Baseline,3857,-122.28977616532808,48.27129900543613
b2b-all-8211712-3-921hdt-d,b2b-all-8211712-3-921hdt-d-6878,b2b-all-8211712-3-921hdt-d-44219,freight-hdt-D-Diesel-Baseline,3857,-122.28977616532808,48.27129900543613
b2b-all-8214015-3-922hdt-d,b2b-all-8214015-3-922hdt-d-6879,b2b-all-8214015-3-922hdt-d-44244,freight-hdt-D-Diesel-Baseline,3854,-122.36719336077611,48.29509419722
b2b-all-8214015-3-922hdt-d,b2b-all-8214015-3-922hdt-d-6880,b2b-all-8214015-3-922hdt-d-44245,freight-hdt-D-Diesel-Baseline,3854,-122.36719336077611,48.29509419722
b2b-all-8214015-3-922hdt-d,b2b-all-8214015-3-922hdt-d-6881,b2b-all-8214015-3-922hdt-d-44246,freight-hdt-D-Diesel-Baseline,3854,-122.36719336077611,48.29509419722
b2b-all-8214016-4-923md-d,b2b-all-8214016-4-923md-d-6882,b2b-all-8214016-4-923md-d-44297,freight-md-D-Diesel-Baseline,3860,-122.2273538455668,48.28573907622722
b2b-all-8214016-4-923md-d,b2b-all-8214016-4-923md-d-6883,b2b-all-8214016-4-923md-d-44298,freight-md-D-Diesel-Baseline,3860,-122.2273538455668,48.28573907622722
b2b-all-8214016-4-923md-d,b2b-all-8214016-4-923md-d-6884,b2b-all-8214016-4-923md-d-44299,freight-md-D-Diesel-Baseline,3860,-122.2273538455668,48.28573907622722
b2b-all-8214016-4-923md-d,b2b-all-8214016-4-923md-d-6885,b2b-all-8214016-4-923md-d-44300,freight-md-D-Diesel-Baseline,3860,-122.2273538455668,48.28573907622722
b2b-all-8214016-4-923md-d,b2b-all-8214016-4-923md-d-6886,b2b-all-8214016-4-923md-d-44301,freight-md-D-Diesel-Baseline,3860,-122.2273538455668,48.28573907622722
b2b-all-8214016-4-923md-d,b2b-all-8214016-4-923md-d-6887,b2b-all-8214016-4-923md-d-44302,freight-md-D-Diesel-Baseline,3860,-122.2273538455668,48.28573907622722
b2b-all-8214016-4-923hdt-d,b2b-all-8214016-4-923hdt-d-6888,b2b-all-8214016-4-923hdt-d-44317,freight-hdt-D-Diesel-Baseline,3860,-122.2273538455668,48.28573907622722
b2b-all-8214016-4-923hdt-d,b2b-all-8214016-4-923hdt-d-6889,b2b-all-8214016-4-923hdt-d-44318,freight-hdt-D-Diesel-Baseline,3860,-122.2273538455668,48.28573907622722
