tourId,departureTimeInSec,departureLocationZone,maxTourDurationInSec,departureLocationX,departureLocationY
b2b-all-29736-4-15hdv-d-93,16560,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-4-15hdv-d-94,20760,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-4-15hdv-d-95,13920,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-4-15hdv-d-96,21240,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-4-15hdv-d-97,17940,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-4-15hdv-d-98,15420,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-4-15hdv-d-99,9240,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-4-15hdv-d-100,18180,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-4-15hdv-d-101,13080,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-4-15hdv-d-102,17580,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-4-15hdv-d-103,22080,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29737-3-16hdt-d-104,21000,3179,3600,-122.77131725889166,47.28156299842093
b2b-all-29737-3-16hdt-d-105,21000,3179,3600,-122.77131725889166,47.28156299842093
b2b-all-29737-3-16hdt-d-106,21000,3179,3600,-122.77131725889166,47.28156299842093
b2b-all-29737-3-16hdt-d-107,21000,3179,3600,-122.77131725889166,47.28156299842093
b2b-all-29737-3-16hdt-d-108,21000,3179,3600,-122.77131725889166,47.28156299842093
b2b-all-31382-4-17hdv-d-109,53400,3887,3600,-121.72553661942986,48.055337803280295
b2b-all-31382-4-17hdv-d-110,53400,3887,3600,-121.72553661942986,48.055337803280295
b2b-all-31382-4-17hdv-d-111,53400,3887,3600,-121.72553661942986,48.055337803280295
b2b-all-31382-4-17hdv-d-112,53400,3887,3600,-121.72553661942986,48.055337803280295
b2b-all-31382-4-17hdv-d-113,53400,3887,3600,-121.72553661942986,48.055337803280295
b2b-all-31382-4-17hdv-d-114,53400,3887,3600,-121.72553661942986,48.055337803280295
b2b-all-31382-4-17hdv-d-115,53400,3887,3600,-121.72553661942986,48.055337803280295
b2b-all-31382-4-17hdv-d-116,53400,3887,3600,-121.72553661942986,48.055337803280295
b2b-all-31385-3-18hdt-d-117,51600,3862,3600,-122.043364174562,48.27125229996049
b2b-all-31385-3-18hdt-d-118,51600,3862,3600,-122.043364174562,48.27125229996049
b2b-all-31385-3-18hdt-d-119,51600,3862,3600,-122.043364174562,48.27125229996049
b2b-all-31385-3-18hdt-d-120,51600,3862,3600,-122.043364174562,48.27125229996049
b2b-all-31385-3-18hdt-d-121,51600,3862,3600,-122.043364174562,48.27125229996049
b2b-all-31385-3-18hdt-d-122,51600,3862,3600,-122.043364174562,48.27125229996049
b2b-all-31385-3-18hdt-d-123,51600,3862,3600,-122.043364174562,48.27125229996049
b2b-all-31385-3-18hdt-d-124,51600,3862,3600,-122.043364174562,48.27125229996049
b2b-all-31385-3-18hdt-d-125,51600,3862,3600,-122.043364174562,48.27125229996049
b2b-all-31385-3-18hdt-d-126,51600,3862,3600,-122.043364174562,48.27125229996049
b2b-all-31385-3-18hdt-d-127,51600,3862,3600,-122.043364174562,48.27125229996049
b2b-all-31385-3-18hdv-d-128,51600,3862,3600,-122.043364174562,48.27125229996049
b2b-all-31385-3-18hdv-d-129,51600,3862,3600,-122.043364174562,48.27125229996049
b2b-all-31385-3-18hdv-d-130,51600,3862,3600,-122.043364174562,48.27125229996049
b2b-all-31386-3-19hdt-d-0-131,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-0-132,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-0-133,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-0-134,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-0-135,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-0-136,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-0-137,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-0-138,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-0-139,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-0-140,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-0-141,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-0-142,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-0-143,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-0-144,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-0-145,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-0-146,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-0-147,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-0-148,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-1-149,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-1-150,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-1-151,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-1-152,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-1-153,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdt-d-1-154,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31386-3-19hdv-d-155,48780,3458,3600,-122.2338603159143,47.93031854501618
b2b-all-31388-1-20md-d-156,25380,3859,3600,-122.31255705104302,48.21846050114549
b2b-all-31388-1-20md-d-157,23820,3859,3600,-122.31255705104302,48.21846050114549
b2b-all-31388-1-20md-d-158,23820,3859,3600,-122.31255705104302,48.21846050114549
b2b-all-31388-1-20md-d-159,23820,3859,3600,-122.31255705104302,48.21846050114549
b2b-all-31388-1-20md-d-160,23820,3859,3600,-122.31255705104302,48.21846050114549
b2b-all-31388-1-20md-d-161,23820,3859,3600,-122.31255705104302,48.21846050114549
b2b-all-31388-1-20md-d-162,23820,3859,3600,-122.31255705104302,48.21846050114549
b2b-all-31388-1-20md-d-163,23820,3859,3600,-122.31255705104302,48.21846050114549
b2b-all-31388-1-20md-d-164,23820,3859,3600,-122.31255705104302,48.21846050114549
b2b-all-31388-1-20md-d-165,23820,3859,3600,-122.31255705104302,48.21846050114549
b2b-all-31388-1-20md-d-166,23820,3859,3600,-122.31255705104302,48.21846050114549
b2b-all-31388-1-20md-d-167,23820,3859,3600,-122.31255705104302,48.21846050114549
