"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(5, 10]","(-20, -19]","(34013.605, 34467.12]",-4.22109508562803
"(5, 10]","(-20, -19]","(34467.12, 34920.635]",-4.22109508562803
"(5, 10]","(-20, -19]","(34920.635, 35374.15]",-4.22109508562803
"(5, 10]","(-20, -19]","(35374.15, 35827.664]",-4.22109508562803
"(5, 10]","(-20, -19]","(35827.664, 36281.179]",-4.22109508562803
"(10, 15]","(-20, -19]","(11337.868, 11791.383]",-7.56722158989695
"(10, 15]","(-20, -19]","(11791.383, 12244.898]",-7.56722158989695
"(10, 15]","(-20, -19]","(12244.898, 12698.413]",-7.56722158989695
"(10, 15]","(-20, -19]","(12698.413, 13151.927]",-7.56722158989695
"(10, 15]","(-20, -19]","(13151.927, 13605.442]",-7.56722158989695
"(10, 15]","(-20, -19]","(13605.442, 14058.957]",-7.56722158989695
"(10, 15]","(-20, -19]","(14058.957, 14512.472]",-7.56722158989695
"(10, 15]","(-20, -19]","(14512.472, 14965.986]",-7.56722158989695
"(10, 15]","(-20, -19]","(14965.986, 15419.501]",-7.56722158989695
"(10, 15]","(-20, -19]","(15419.501, 15873.016]",-8.02391858675392
"(10, 15]","(-20, -19]","(15873.016, 16326.531]",-7.97869764647408
"(10, 15]","(-20, -19]","(16326.531, 16780.045]",-7.97869764647408
"(10, 15]","(-20, -19]","(16780.045, 17233.56]",-7.97869764647408
"(10, 15]","(-20, -19]","(17233.56, 17687.075]",-7.97869764647408
"(10, 15]","(-20, -19]","(17687.075, 18140.59]",-7.97869764647408
"(10, 15]","(-20, -19]","(18140.59, 18594.104]",-7.97869764647408
"(10, 15]","(-20, -19]","(18594.104, 19047.619]",-7.97869764647408
"(10, 15]","(-20, -19]","(19047.619, 19501.134]",-7.97869764647408
"(10, 15]","(-20, -19]","(19501.134, 19954.649]",-7.97869764647408
"(10, 15]","(-20, -19]","(19954.649, 20408.163]",-7.97869764647408
"(10, 15]","(-20, -19]","(20408.163, 20861.678]",-7.97869764647408
"(10, 15]","(-20, -19]","(20861.678, 21315.193]",-7.97869764647408
"(10, 15]","(-20, -19]","(21315.193, 21768.707]",-7.97869764647408
"(10, 15]","(-20, -19]","(21768.707, 22222.222]",-7.82562646598109
"(10, 15]","(-20, -19]","(22222.222, 22675.737]",-7.46273039912481
"(10, 15]","(-20, -19]","(22675.737, 23129.252]",-7.46273039912481
