"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(5, 10]","(-20, -19]","(35374.15, 35827.664]",0.239159188026442
"(5, 10]","(-20, -19]","(35827.664, 36281.179]",0.239159188026442
"(10, 15]","(-20, -19]","(11337.868, 11791.383]",0.0754977991167718
"(10, 15]","(-20, -19]","(11791.383, 12244.898]",0.0754977991167718
"(10, 15]","(-20, -19]","(12244.898, 12698.413]",0.0754977991167718
"(10, 15]","(-20, -19]","(12698.413, 13151.927]",0.0754977991167718
"(10, 15]","(-20, -19]","(13151.927, 13605.442]",0.0754977991167718
"(10, 15]","(-20, -19]","(13605.442, 14058.957]",0.0754977991167718
"(10, 15]","(-20, -19]","(14058.957, 14512.472]",0.0754977991167718
"(10, 15]","(-20, -19]","(14512.472, 14965.986]",0.0754977991167718
"(10, 15]","(-20, -19]","(14965.986, 15419.501]",0.0684064506920533
"(10, 15]","(-20, -19]","(15419.501, 15873.016]",0.0694145386949698
"(10, 15]","(-20, -19]","(15873.016, 16326.531]",0.074688568488931
"(10, 15]","(-20, -19]","(16326.531, 16780.045]",0.0768025487044241
"(10, 15]","(-20, -19]","(16780.045, 17233.56]",0.0809663180278952
"(10, 15]","(-20, -19]","(17233.56, 17687.075]",0.0809663180278952
"(10, 15]","(-20, -19]","(17687.075, 18140.59]",0.0809663180278952
"(10, 15]","(-20, -19]","(18140.59, 18594.104]",0.0925463260134957
"(10, 15]","(-20, -19]","(18594.104, 19047.619]",0.102499866149099
"(10, 15]","(-20, -19]","(19047.619, 19501.134]",0.102499866149099
"(10, 15]","(-20, -19]","(19501.134, 19954.649]",0.103554202365109
"(10, 15]","(-20, -19]","(19954.649, 20408.163]",0.117207502494275
"(10, 15]","(-20, -19]","(20408.163, 20861.678]",0.122065101119229
"(10, 15]","(-20, -19]","(20861.678, 21315.193]",0.126768611848193
"(10, 15]","(-20, -19]","(21315.193, 21768.707]",0.150536434492097
"(10, 15]","(-20, -19]","(21768.707, 22222.222]",0.096299613339455
"(10, 15]","(-20, -19]","(22222.222, 22675.737]",0.0845978846953831
"(10, 15]","(-20, -19]","(22675.737, 23129.252]",0.0660382092141611
"(10, 15]","(-20, -19]","(23129.252, 23582.766]",0.0660382092141611
"(10, 15]","(-20, -19]","(23582.766, 24036.281]",0.0660382092141611
"(10, 15]","(-20, -19]","(24036.281, 24489.796]",0.0642026790630392
"(10, 15]","(-20, -19]","(24489.796, 24943.311]",0.0642026790630392
"(10, 15]","(-20, -19]","(24943.311, 25396.825]",0.0642026790630392
"(10, 15]","(-20, -19]","(25396.825, 25850.34]",0.0642026790630392
"(10, 15]","(-20, -19]","(25850.34, 26303.855]",0.0642026790630392
"(10, 15]","(-20, -19]","(26303.855, 26757.37]",0.0642026790630392
"(10, 15]","(-20, -19]","(26757.37, 27210.884]",0.0642026790630392
"(10, 15]","(-20, -19]","(27210.884, 27664.399]",0.0642026790630392
"(10, 15]","(-20, -19]","(27664.399, 28117.914]",0.0642026790630392
"(10, 15]","(-20, -19]","(28117.914, 28571.429]",0.0642026790630392
"(10, 15]","(-20, -19]","(28571.429, 29024.943]",0.0642026790630392
"(10, 15]","(-20, -19]","(29024.943, 29478.458]",0.0754404010998439
"(10, 15]","(-20, -19]","(29478.458, 29931.973]",0.0605339608159862
"(10, 15]","(-20, -19]","(29931.973, 30385.488]",0.0605339608159862
"(10, 15]","(-20, -19]","(30385.488, 30839.002]",0.0605339608159862
"(10, 15]","(-20, -19]","(30839.002, 31292.517]",0.0605339608159862
"(10, 15]","(-20, -19]","(31292.517, 31746.032]",0.0605339608159862
"(10, 15]","(-20, -19]","(31746.032, 32199.546]",0.0629029063459515
"(10, 15]","(-20, -19]","(32199.546, 32653.061]",0.0629029063459515
"(10, 15]","(-20, -19]","(32653.061, 33106.576]",0.0627277716184152
"(10, 15]","(-20, -19]","(33106.576, 33560.091]",0.0640926287889711
