payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,weightInKg,deliveryType,fleetType
12537621,31,b2b-110,mfr_goods,unloading,530530728001,67320,7800,115200,1020,-122.722177527917,47.06726163014591,530670112001.0,312130,334413,49.44156833,delivery-only,private
61-db2b110-,32,b2b-110,mfr_goods,loading,530610413042,77520,0,0,0,-122.25191398814933,47.92448293044668,530610413042.0,,,0.0,delivery-only,
61-db2b112,0,b2b-112,mfr_goods,loading,530610413042,7800,0,0,0,-122.25191398814933,47.92448293044668,530610413042.0,,,148.32470499000001,delivery-only,
8588692,1,b2b-112,mfr_goods,unloading,530330223001,11520,7800,93600,480,-122.24903608320814,47.73168866213458,530330223001.0,425000,334413,49.44156833,delivery-only,private
4543301,2,b2b-112,mfr_goods,unloading,530330228031,12900,7800,93600,1140,-122.13507984174748,47.65129748887545,530330228031.0,517210,334413,49.44156833,delivery-only,private
26267769,3,b2b-112,mfr_goods,unloading,530610519222,15000,7800,93600,1200,-122.2087648971592,47.80416378118773,530610519222.0,33291A,334413,49.44156833,delivery-only,private
61-db2b112-,4,b2b-112,mfr_goods,loading,530610413042,16500,0,0,0,-122.25191398814933,47.92448293044668,530610413042.0,,,0.0,delivery-only,
61-db2b123,0,b2b-123,mfr_goods,loading,530610413042,7800,0,0,0,-122.25191398814933,47.92448293044668,530610413042.0,,,639.11164933,delivery-only,
21571232,1,b2b-123,mfr_goods,unloading,530330322103,11700,7800,93600,960,-122.00496173886025,47.54701353176653,530330322103.0,425000,334413,49.44156833,delivery-only,private
6647289,2,b2b-123,mfr_goods,unloading,530330234013,13320,7800,93600,660,-122.13645246545,47.58121296984898,530330234013.0,423600,334413,48.98797596,delivery-only,private
20426937,3,b2b-123,mfr_goods,unloading,530330249031,14460,7800,93600,1080,-122.12610064704464,47.55819346089844,530330249031.0,424900,334413,48.98797596,delivery-only,private
20427094,4,b2b-123,mfr_goods,unloading,530330249031,15600,7800,93600,960,-122.12610064704464,47.55819346089844,530330249031.0,424900,334413,48.98797596,delivery-only,private
20427388,5,b2b-123,mfr_goods,unloading,530330249031,16620,7800,93600,480,-122.12610064704464,47.55819346089844,530330249031.0,424900,334413,48.98797596,delivery-only,private
20427728,6,b2b-123,mfr_goods,unloading,530330249031,17160,7800,93600,300,-122.12610064704464,47.55819346089844,530330249031.0,424900,334413,48.98797596,delivery-only,private
20427472,7,b2b-123,mfr_goods,unloading,530330249031,17520,7800,93600,1200,-122.12610064704464,47.55819346089844,530330249031.0,424900,334413,48.98797596,delivery-only,private
23262012,8,b2b-123,mfr_goods,unloading,530330238031,19320,7800,93600,600,-122.20310527944292,47.62103995003952,530330238031.0,423400,334413,48.98797596,delivery-only,private
23262721,9,b2b-123,mfr_goods,unloading,530330238031,19920,7800,93600,720,-122.20310527944292,47.62103995003952,530330238031.0,423400,334413,48.98797596,delivery-only,private
15944206,10,b2b-123,mfr_goods,unloading,530330237001,20940,7800,93600,1200,-122.17321549067078,47.62201419881901,530330237001.0,334418,334413,49.44156833,delivery-only,private
15944091,11,b2b-123,mfr_goods,unloading,530330237001,22140,7800,93600,1080,-122.17321549067078,47.62201419881901,530330237001.0,334418,334413,49.44156833,delivery-only,private
325313,12,b2b-123,mfr_goods,unloading,530330219041,23820,7800,93600,480,-122.16417223504348,47.713945089962415,530330219041.0,423400,334413,49.44156833,delivery-only,private
26266970,13,b2b-123,mfr_goods,unloading,530610519222,24900,7800,93600,540,-122.2087648971592,47.80416378118773,530610519222.0,33291A,334413,49.44156833,delivery-only,private
61-db2b123-,14,b2b-123,mfr_goods,loading,530610413042,25740,0,0,0,-122.25191398814933,47.92448293044668,530610413042.0,,,0.0,delivery-only,
61-db2b126,0,b2b-126,mfr_goods,loading,530610413042,7800,0,0,0,-122.25191398814933,47.92448293044668,530610413042.0,,,592.84522759,delivery-only,
16479352,1,b2b-126,mfr_goods,unloading,530350905011,12720,7800,93600,1200,-122.65729961785854,47.7485656952714,530350905011.0,517110,334413,49.44156833,delivery-only,private
16479206,2,b2b-126,mfr_goods,unloading,530350905011,14040,7800,93600,540,-122.65729961785854,47.7485656952714,530350905011.0,517110,334413,49.44156833,delivery-only,private
16478864,3,b2b-126,mfr_goods,unloading,530350905011,14700,7800,93600,420,-122.65729961785854,47.7485656952714,530350905011.0,517110,334413,49.44156833,delivery-only,private
16478777,4,b2b-126,mfr_goods,unloading,530350905011,15240,7800,93600,600,-122.65729961785854,47.7485656952714,530350905011.0,517110,334413,49.44156833,delivery-only,private
16478529,5,b2b-126,mfr_goods,unloading,530350905011,15960,7800,93600,1140,-122.65729961785854,47.7485656952714,530350905011.0,517110,334413,49.44156833,delivery-only,private
16478488,6,b2b-126,mfr_goods,unloading,530350905011,17220,7800,93600,960,-122.65729961785854,47.7485656952714,530350905011.0,517110,334413,49.44156833,delivery-only,private
16478391,7,b2b-126,mfr_goods,unloading,530350905011,18300,7800,93600,1200,-122.65729961785854,47.7485656952714,530350905011.0,517110,334413,49.44156833,delivery-only,private
12636825,8,b2b-126,mfr_goods,unloading,530350803002,20820,7800,93600,840,-122.62790406898002,47.58098725023656,530350803002.0,334111,334413,49.44156833,delivery-only,private
12636820,9,b2b-126,mfr_goods,unloading,530350803002,21660,7800,93600,960,-122.62790406898002,47.58098725023656,530350803002.0,334111,334413,49.44156833,delivery-only,private
12636561,10,b2b-126,mfr_goods,unloading,530350803002,22620,7800,93600,1080,-122.62790406898002,47.58098725023656,530350803002.0,334111,334413,49.44156833,delivery-only,private
24573478,11,b2b-126,mfr_goods,unloading,530330262001,26640,7800,93600,1200,-122.2324071200944,47.474930274605015,530330262001.0,532400,334413,49.44156833,delivery-only,private
785733,12,b2b-126,mfr_goods,unloading,530330297004,28860,7800,93600,960,-122.23388581772846,47.3661147059709,530330297004.0,33441A,334413,48.98797596,delivery-only,private
61-db2b126-,13,b2b-126,mfr_goods,loading,530610413042,33180,0,0,0,-122.25191398814933,47.92448293044668,530610413042.0,,,0.0,delivery-only,
61-db2b137,0,b2b-137,mfr_goods,loading,530610536043,40800,0,0,0,-121.9681333780946,48.08072103068493,530610536043.0,,,35.38020486,delivery-only,
6277452,1,b2b-137,mfr_goods,unloading,530330323073,45060,40800,93600,600,-122.10364589177782,47.772870230194414,530330323073.0,621200,339116,11.793401620000001,delivery-only,private
6277697,2,b2b-137,mfr_goods,unloading,530330323073,45720,40800,93600,600,-122.10364589177782,47.772870230194414,530330323073.0,621200,339116,11.793401620000001,delivery-only,private
6277813,3,b2b-137,mfr_goods,unloading,530330323073,46380,40800,93600,720,-122.10364589177782,47.772870230194414,530330323073.0,621200,339116,11.793401620000001,delivery-only,private
61-db2b137-,4,b2b-137,mfr_goods,loading,530610536043,50460,0,0,0,-121.9681333780946,48.08072103068493,530610536043.0,,,0.0,delivery-only,
61-db2b142,0,b2b-142,mfr_goods,loading,530610519222,53400,0,0,0,-122.21548063057068,47.79774902147911,530610519222.0,,,1430.63033498,delivery-only,
27811628,1,b2b-142,mfr_goods,unloading,530330059002,55920,53400,93600,1200,-122.37398783754092,47.64754585711052,530330059002.0,230301,33721A,715.31516749,delivery-only,private
27810798,2,b2b-142,mfr_goods,unloading,530330059002,57120,53400,93600,300,-122.37398783754092,47.64754585711052,530330059002.0,230301,33721A,715.31516749,delivery-only,private
61-db2b142-,3,b2b-142,mfr_goods,loading,530610519222,59340,0,0,0,-122.21548063057068,47.79774902147911,530610519222.0,,,0.0,delivery-only,
