carrierId,tourId,vehicleId,vehicleTypeId,depotZone,depotX,depotY,mesoZone
68299304-1387hdv-d,b2b-5630,68299304-1387hdv-d-c33-154914,hdv-D-Diesel-2018-Baseline,3858,-122.32484971289897,48.270695775682846,3401.0
68299304-1387hdv-d,b2b-5631,68299304-1387hdv-d-c33-154915,hdv-D-Diesel-2018-Baseline,3858,-122.32484971289897,48.270695775682846,3401.0
68299304-1387hdv-d,b2b-5632,68299304-1387hdv-d-c33-154916,hdv-D-Diesel-2018-Baseline,3858,-122.32484971289897,48.270695775682846,3401.0
68299304-1387hdv-d,b2b-5633,68299304-1387hdv-d-c33-154917,hdv-D-Diesel-2018-Baseline,3858,-122.32484971289897,48.270695775682846,3401.0
68299304-1388hdv-d,b2b-5634,68299304-1388hdv-d-c33-154970,hdv-D-Diesel-2018-Baseline,3858,-122.32484971289897,48.270695775682846,3401.0
68299304-1388hdv-d,b2b-5635,68299304-1388hdv-d-c33-154969,hdv-D-Diesel-2018-Baseline,3858,-122.32484971289897,48.270695775682846,3401.0
68299304-1388hdv-d,b2b-5636,68299304-1388hdv-d-c33-154968,hdv-D-Diesel-2018-Baseline,3858,-122.32484971289897,48.270695775682846,3401.0
68299332-1389hdt-d,b2b-5637,68299332-1389hdt-d-c33-155007,hdt-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,4413.0
68299332-1389hdt-d,b2b-5638,68299332-1389hdt-d-c33-154971,hdt-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,4413.0
68299332-1389hdt-d,b2b-5639,68299332-1389hdt-d-c33-155005,hdt-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,4413.0
68299332-1389hdt-d,b2b-5640,68299332-1389hdt-d-c33-155006,hdt-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,4413.0
68299332-1390hdt-d,b2b-5641,68299332-1390hdt-d-c33-155041,hdt-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,4413.0
68299332-1390hdt-d,b2b-5642,68299332-1390hdt-d-c33-155042,hdt-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,4413.0
68299332-1390hdt-d,b2b-5643,68299332-1390hdt-d-c33-155044,hdt-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,4413.0
68299333-1391hdv-d,b2b-5644,68299333-1391hdv-d-c33-155071,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,4413.0
68299333-1391hdv-d,b2b-5645,68299333-1391hdv-d-c33-155069,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,4413.0
