payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,weightInKg
b2b-all-2353881-2-2hdt-d-1-6-61-b2b1917,2,b2b-all-2353881-2-2hdt-d-1-6,1,1,1349,41040,20400,86400,780,-122.3213771325744,47.55297595244455,131.08819493000001
b2b-all-2353881-2-2hdt-d-1-6-61-b2b1916,3,b2b-all-2353881-2-2hdt-d-1-6,1,1,1349,41820,30600,86400,600,-122.33479594415756,47.546725475873856,131.08819493000001
b2b-all-2353881-2-2hdt-d-1-6-61-b2b1915,4,b2b-all-2353881-2-2hdt-d-1-6,1,1,1349,42420,21480,86400,480,-122.33612936208992,47.5531055060157,131.08819493000001
b2b-all-2353881-2-2hdt-d-1-6-61-b2b1914,5,b2b-all-2353881-2-2hdt-d-1-6,1,1,1349,42900,29400,86400,900,-122.3357650145292,47.54609623086469,131.08819493000001
b2b-all-2353881-2-2hdt-d-1-6-61-b2b1940,6,b2b-all-2353881-2-2hdt-d-1-6,1,1,1825,45660,31200,86400,1020,-122.49810291244742,47.3992931037148,131.08819493000001
b2b-all-2353881-2-2hdt-d-1-6-61-b2b1939,7,b2b-all-2353881-2-2hdt-d-1-6,1,1,1825,46680,32700,86400,360,-122.46712309547875,47.41896984354823,131.08819493000001
b2b-all-2353881-2-2hdt-d-1-6-61-db2b6-,8,b2b-all-2353881-2-2hdt-d-1-6,1,1,3635,52020,0,0,0,-122.27151814556706,47.86185642800624,0.0
b2b-all-2353881-2-2hdt-d-1-7-61-db2b7,0,b2b-all-2353881-2-2hdt-d-1-7,1,1,3635,35520,0,0,0,-122.27151814556706,47.86185642800624,1179.79375437
b2b-all-2353881-2-2hdt-d-1-7-61-b2b1923,1,b2b-all-2353881-2-2hdt-d-1-7,1,1,1601,39960,37200,86400,540,-122.1201598741107,47.60149270121923,131.08819493000001
b2b-all-2353881-2-2hdt-d-1-7-61-b2b1922,2,b2b-all-2353881-2-2hdt-d-1-7,1,1,1601,40500,28260,86400,1020,-122.12591832949704,47.5947669826961,131.08819493000001
b2b-all-2353881-2-2hdt-d-1-7-61-b2b1921,3,b2b-all-2353881-2-2hdt-d-1-7,1,1,1601,41520,25440,86400,420,-122.1197600186661,47.59321131499198,131.08819493000001
b2b-all-2353881-2-2hdt-d-1-7-61-b2b1920,4,b2b-all-2353881-2-2hdt-d-1-7,1,1,1601,41940,25500,86400,1080,-122.11986689166405,47.596097570378426,131.08819493000001
b2b-all-2353881-2-2hdt-d-1-7-61-b2b1919,5,b2b-all-2353881-2-2hdt-d-1-7,1,1,1601,43020,27000,86400,420,-122.1168194322484,47.59266177808319,131.08819493000001
b2b-all-2353881-2-2hdt-d-1-7-61-b2b1918,6,b2b-all-2353881-2-2hdt-d-1-7,1,1,1601,43440,21480,86400,1020,-122.1203094918088,47.60864732099312,131.08819493000001
b2b-all-2353881-2-2hdt-d-1-7-61-b2b1927,7,b2b-all-2353881-2-2hdt-d-1-7,1,1,1268,45720,37920,86400,1200,-122.34356464426814,47.573687161784434,131.08819493000001
b2b-all-2353881-2-2hdt-d-1-7-61-b2b1926,8,b2b-all-2353881-2-2hdt-d-1-7,1,1,1268,46920,21120,86400,540,-122.32573249376216,47.57410227451856,131.08819493000001
b2b-all-2353881-2-2hdt-d-1-7-61-b2b1925,9,b2b-all-2353881-2-2hdt-d-1-7,1,1,1268,47460,31200,86400,300,-122.31994362215973,47.56415134140227,131.08819493000001
b2b-all-2353881-2-2hdt-d-1-7-61-db2b7-,10,b2b-all-2353881-2-2hdt-d-1-7,1,1,3635,50820,0,0,0,-122.27151814556706,47.86185642800624,0.0
b2b-all-2353881-2-2hdt-d-2-8-61-db2b8,0,b2b-all-2353881-2-2hdt-d-2-8,1,1,3635,35520,0,0,0,-122.27151814556706,47.86185642800624,524.3527797200001
b2b-all-2353881-2-2hdt-d-2-8-61-b2b1944,1,b2b-all-2353881-2-2hdt-d-2-8,1,1,1244,39660,25620,86400,780,-122.32921805266734,47.605611097036295,131.08819493000001
b2b-all-2353881-2-2hdt-d-2-8-61-b2b1943,2,b2b-all-2353881-2-2hdt-d-2-8,1,1,1825,42840,18060,86400,900,-122.49109293243168,47.39302210652234,131.08819493000001
b2b-all-2353881-2-2hdt-d-2-8-61-b2b1942,3,b2b-all-2353881-2-2hdt-d-2-8,1,1,1825,43740,19260,86400,420,-122.50267185831235,47.40439356347068,131.08819493000001
b2b-all-2353881-2-2hdt-d-2-8-61-b2b1941,4,b2b-all-2353881-2-2hdt-d-2-8,1,1,1825,44160,19260,86400,660,-122.48174015312264,47.38662883083472,131.08819493000001
b2b-all-2353881-2-2hdt-d-2-8-61-db2b8-,5,b2b-all-2353881-2-2hdt-d-2-8,1,1,3635,49800,0,0,0,-122.27151814556706,47.86185642800624,0.0
b2b-all-2353881-2-3hdt-d-1-9-61-db2b9,0,b2b-all-2353881-2-3hdt-d-1-9,1,1,3635,28260,0,0,0,-122.27151814556706,47.86185642800624,262.17638986000003
b2b-all-2353881-2-3hdt-d-1-9-61-b2b1934,1,b2b-all-2353881-2-3hdt-d-1-9,1,1,5885,40560,19500,100800,36000,-123.12917480974409,44.98433170990787,131.08819493000001
b2b-all-2353881-2-3hdt-d-1-9-61-b2b1929,2,b2b-all-2353881-2-3hdt-d-1-9,1,1,5885,76560,28920,100800,36000,-123.12917480974409,44.98433170990787,131.08819493000001
b2b-all-2353881-2-3hdt-d-1-9-61-db2b9-,3,b2b-all-2353881-2-3hdt-d-1-9,1,1,3635,123360,0,0,0,-122.27151814556706,47.86185642800624,0.0
b2b-all-2353881-2-3hdt-d-1-10-61-db2b10,0,b2b-all-2353881-2-3hdt-d-1-10,1,1,3635,28260,0,0,0,-122.27151814556706,47.86185642800624,262.17638986000003
b2b-all-2353881-2-3hdt-d-1-10-61-b2b1931,1,b2b-all-2353881-2-3hdt-d-1-10,1,1,5885,40560,20640,100800,36000,-123.12917480974409,44.98433170990787,131.08819493000001
b2b-all-2353881-2-3hdt-d-1-10-61-b2b1930,2,b2b-all-2353881-2-3hdt-d-1-10,1,1,5885,76560,34320,100800,36000,-123.12917480974409,44.98433170990787,131.08819493000001
b2b-all-2353881-2-3hdt-d-1-10-61-db2b10-,3,b2b-all-2353881-2-3hdt-d-1-10,1,1,3635,123360,0,0,0,-122.27151814556706,47.86185642800624,0.0
b2b-all-2353881-2-3hdt-d-1-11-61-db2b11,0,b2b-all-2353881-2-3hdt-d-1-11,1,1,3635,28260,0,0,0,-122.27151814556706,47.86185642800624,262.17638986000003
b2b-all-2353881-2-3hdt-d-1-11-61-b2b1933,1,b2b-all-2353881-2-3hdt-d-1-11,1,1,5885,40560,20100,100800,36000,-123.12917480974409,44.98433170990787,131.08819493000001
b2b-all-2353881-2-3hdt-d-1-11-61-b2b1932,2,b2b-all-2353881-2-3hdt-d-1-11,1,1,5885,76560,37560,100800,36000,-123.12917480974409,44.98433170990787,131.08819493000001
b2b-all-2353881-2-3hdt-d-1-11-61-db2b11-,3,b2b-all-2353881-2-3hdt-d-1-11,1,1,3635,123360,0,0,0,-122.27151814556706,47.86185642800624,0.0
b2b-all-2353881-2-3hdt-d-1-12-61-db2b12,0,b2b-all-2353881-2-3hdt-d-1-12,1,1,3635,28260,0,0,0,-122.27151814556706,47.86185642800624,131.08819493000001
b2b-all-2353881-2-3hdt-d-1-12-61-b2b1945,1,b2b-all-2353881-2-3hdt-d-1-12,1,1,3191,38520,35400,100800,36000,-122.48240942711132,47.05796598200305,131.08819493000001
b2b-all-2353881-2-3hdt-d-1-12-61-db2b12-,2,b2b-all-2353881-2-3hdt-d-1-12,1,1,3635,83280,0,0,0,-122.27151814556706,47.86185642800624,0.0
b2b-all-2353883-1-4hdv-d-13-61-db2b13,0,b2b-all-2353883-1-4hdv-d-13,1,1,3566,26220,0,0,0,-122.33359427912666,47.80462786419155,915.80299503
b2b-all-2353883-1-4hdv-d-13-61-b2b1950,1,b2b-all-2353883-1-4hdv-d-13,1,1,1652,28920,25380,86400,660,-122.23411898437308,47.58698664440885,130.63460256000002
b2b-all-2353883-1-4hdv-d-13-61-b2b1956,2,b2b-all-2353883-1-4hdv-d-13,1,1,1774,30600,25140,86400,840,-122.29131000603996,47.50514097330876,131.08819493000001
b2b-all-2353883-1-4hdv-d-13-61-b2b1952,3,b2b-all-2353883-1-4hdv-d-13,1,1,2838,34380,30960,86400,840,-122.444265457897,47.24360968533513,130.63460256000002
b2b-all-2353883-1-4hdv-d-13-61-b2b1951,4,b2b-all-2353883-1-4hdv-d-13,1,1,2838,35220,19500,86400,300,-122.44608292443176,47.24170014515031,130.63460256000002
