payloadId,sequenceRank,tourId,payloadType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,weightInKg,deliveryType,activityType,fleetType,operationDurationInSecOG
b2b-109-6,6,b2b-109,mfr_goods,530330067001,48480,36600,93600,720,-122.34036294748022,47.62828934830866,530330067001.0,621400,325414,72.12118683,delivery-only,unloading,private,720
b2b-109-7,7,b2b-109,mfr_goods,530610519252,53160,0,0,0,-122.20114996171796,47.79631305472134,530610519252.0,,,0.0,delivery-only,loading,,0
b2b-116-0,0,b2b-116,mfr_goods,530610418052,38400,0,0,0,-122.2223397361631,47.907664854712266,530610418052.0,,,1186.5976399200001,delivery-only,loading,,0
b2b-116-1,1,b2b-116,mfr_goods,530610519222,39720,38400,93600,480,-122.22133565076912,47.80239348345013,530610519222.0,333414,339990,131.99537967,delivery-only,unloading,private,480
b2b-116-2,2,b2b-116,mfr_goods,530330219041,41220,38400,93600,360,-122.16568847484552,47.713848672320594,530330219041.0,335312,339990,527.98151868,delivery-only,unloading,private,360
b2b-116-3,3,b2b-116,mfr_goods,530610519222,46560,38400,93600,840,-122.22133565076912,47.80239348345013,530610519222.0,333414,339990,131.99537967,delivery-only,unloading,private,840
b2b-116-4,4,b2b-116,mfr_goods,530610521042,49020,38400,93600,660,-122.14814750566389,47.94302467549343,530610521042.0,114000,339990,394.62536190000003,delivery-only,unloading,private,660
b2b-116-5,5,b2b-116,mfr_goods,530610418052,53340,0,0,0,-122.2223397361631,47.907664854712266,530610418052.0,,,0.0,delivery-only,loading,,0
b2b-118-0,0,b2b-118,mfr_goods,530610418052,38400,0,0,0,-122.2223397361631,47.907664854712266,530610418052.0,,,395.98613901000004,delivery-only,loading,,0
b2b-118-1,1,b2b-118,mfr_goods,530330219041,40740,38400,93600,900,-122.16568847484552,47.713848672320594,530330219041.0,335312,339990,263.99075934,delivery-only,unloading,private,900
b2b-118-2,2,b2b-118,mfr_goods,530610519222,43800,38400,93600,1080,-122.22133565076912,47.80239348345013,530610519222.0,333414,339990,131.99537967,delivery-only,unloading,private,1080
b2b-118-3,3,b2b-118,mfr_goods,530610418052,45780,0,0,0,-122.2223397361631,47.907664854712266,530610418052.0,,,0.0,delivery-only,loading,,0
b2b-142-0,0,b2b-142,mfr_goods,530610418052,14400,0,0,0,-122.2223397361631,47.907664854712266,530610418052.0,,,527.98151868,delivery-only,loading,,0
b2b-142-1,1,b2b-142,mfr_goods,530330219041,17940,14400,93600,540,-122.16568847484552,47.713848672320594,530330219041.0,335312,339990,395.98613901000004,delivery-only,unloading,private,540
b2b-142-2,2,b2b-142,mfr_goods,530610519222,22440,14400,93600,780,-122.22133565076912,47.80239348345013,530610519222.0,333414,339990,131.99537967,delivery-only,unloading,private,780
b2b-142-3,3,b2b-142,mfr_goods,530610418052,24120,0,0,0,-122.2223397361631,47.907664854712266,530610418052.0,,,0.0,delivery-only,loading,,0
b2b-156-0,0,b2b-156,mfr_goods,530610418052,46800,0,0,0,-122.2223397361631,47.907664854712266,530610418052.0,,,263.0835746,delivery-only,loading,,0
b2b-156-1,1,b2b-156,mfr_goods,530610521042,49020,46800,93600,720,-122.14814750566389,47.94302467549343,530610521042.0,114000,339990,263.0835746,delivery-only,unloading,private,720
b2b-156-2,2,b2b-156,mfr_goods,530610418052,52680,0,0,0,-122.2223397361631,47.907664854712266,530610418052.0,,,0.0,delivery-only,loading,,0
b2b-177-0,0,b2b-177,mfr_goods,530530729061,35400,0,0,0,-122.55444246185414,47.0496292343141,530419708004.0,,,920.7925111000001,delivery-only,loading,,0
b2b-177-1,1,b2b-177,mfr_goods,530610535071,47940,35400,93600,300,-122.1341761736139,48.181304986355926,530610535071.0,339990,339990,920.7925111000001,delivery-only,unloading,private,300
b2b-177-2,2,b2b-177,mfr_goods,530530729061,64800,0,0,0,-122.55444246185414,47.0496292343141,530419708004.0,,,0.0,delivery-only,loading,,0
b2b-181-0,0,b2b-181,mfr_goods,530610413042,18600,0,0,0,-122.24560690332179,47.923535728287746,530610413042.0,,,658.1625288700001,delivery-only,loading,,0
b2b-181-1,1,b2b-181,mfr_goods,530330292061,20100,18600,93600,420,-122.23085629034271,47.4024621622948,530330292061.0,424200,339990,394.62536190000003,delivery-only,unloading,private,420
b2b-181-2,2,b2b-181,mfr_goods,530330080021,23280,18600,93600,660,-122.34333781121695,47.612585042476944,530330080021.0,327200,339990,131.99537967,delivery-only,unloading,private,660
b2b-181-3,3,b2b-181,mfr_goods,530610418111,26760,18600,93600,720,-122.24468504750396,47.87695913461136,530610418111.0,423600,339990,131.5417873,delivery-only,unloading,private,720
b2b-181-4,4,b2b-181,mfr_goods,530610413042,27720,0,0,0,-122.24560690332179,47.923535728287746,530610413042.0,,,0.0,delivery-only,loading,,0
b2b-183-0,0,b2b-183,mfr_goods,530610413042,18600,0,0,0,-122.24560690332179,47.923535728287746,530610413042.0,,,526.6207415700001,delivery-only,loading,,0
b2b-183-1,1,b2b-183,mfr_goods,530330292061,20100,18600,93600,540,-122.23085629034271,47.4024621622948,530330292061.0,424200,339990,263.0835746,delivery-only,unloading,private,540
b2b-183-2,2,b2b-183,mfr_goods,530330080021,22440,18600,93600,360,-122.34333781121695,47.612585042476944,530330080021.0,327200,339990,131.99537967,delivery-only,unloading,private,360
b2b-183-3,3,b2b-183,mfr_goods,530610418111,25620,18600,93600,480,-122.24468504750396,47.87695913461136,530610418111.0,423600,339990,131.5417873,delivery-only,unloading,private,480
b2b-183-4,4,b2b-183,mfr_goods,530610413042,26340,0,0,0,-122.24560690332179,47.923535728287746,530610413042.0,,,0.0,delivery-only,loading,,0
b2b-205-0,0,b2b-205,mfr_goods,530610413042,35400,0,0,0,-122.24560690332179,47.923535728287746,530610413042.0,,,659.06971361,delivery-only,loading,,0
b2b-205-1,1,b2b-205,mfr_goods,530330292061,36600,35400,93600,840,-122.23085629034271,47.4024621622948,530330292061.0,424200,339990,131.5417873,delivery-only,unloading,private,840
b2b-205-2,2,b2b-205,mfr_goods,530330283003,37560,35400,93600,960,-122.2527596114022,47.428382487102446,530330283003.0,33399B,339990,131.99537967,delivery-only,unloading,private,960
b2b-205-3,3,b2b-205,mfr_goods,530330080021,39540,35400,93600,360,-122.34333781121695,47.612585042476944,530330080021.0,327200,339990,131.99537967,delivery-only,unloading,private,360
b2b-205-4,4,b2b-205,mfr_goods,530330054002,40260,35400,93600,420,-122.34484931121024,47.64815276963843,530330054002.0,711100,339990,131.5417873,delivery-only,unloading,private,420
b2b-205-5,5,b2b-205,mfr_goods,530330027004,41040,35400,93600,1020,-122.34355875032789,47.68835296848708,530330027004.0,423900,339990,131.99537967,delivery-only,unloading,private,1020
b2b-205-6,6,b2b-205,mfr_goods,530610413042,44700,0,0,0,-122.24560690332179,47.923535728287746,530610413042.0,,,0.0,delivery-only,loading,,0
b2b-209-0,0,b2b-209,mfr_goods,530610413042,35400,0,0,0,-122.24560690332179,47.923535728287746,530610413042.0,,,527.52792631,delivery-only,loading,,0
b2b-209-1,1,b2b-209,mfr_goods,530330292061,36600,35400,93600,840,-122.23085629034271,47.4024621622948,530330292061.0,424200,339990,131.5417873,delivery-only,unloading,private,840
b2b-209-2,2,b2b-209,mfr_goods,530330283003,37560,35400,93600,660,-122.2527596114022,47.428382487102446,530330283003.0,33399B,339990,263.99075934,delivery-only,unloading,private,660
b2b-209-3,3,b2b-209,mfr_goods,530330080021,39900,35400,93600,1140,-122.34333781121695,47.612585042476944,530330080021.0,327200,339990,131.99537967,delivery-only,unloading,private,1140
b2b-209-4,4,b2b-209,mfr_goods,530610413042,44460,0,0,0,-122.24560690332179,47.923535728287746,530610413042.0,,,0.0,delivery-only,loading,,0
b2b-234-0,0,b2b-234,mfr_goods,530610413042,18000,0,0,0,-122.24560690332179,47.923535728287746,530610413042.0,,,527.52792631,delivery-only,loading,,0
b2b-234-1,1,b2b-234,mfr_goods,530330292061,19200,18000,93600,1140,-122.23085629034271,47.4024621622948,530330292061.0,424200,339990,131.5417873,delivery-only,unloading,private,1140
b2b-234-2,2,b2b-234,mfr_goods,530330283003,20460,18000,93600,360,-122.2527596114022,47.428382487102446,530330283003.0,33399B,339990,263.99075934,delivery-only,unloading,private,360
b2b-234-3,3,b2b-234,mfr_goods,530330080021,22320,18000,93600,1200,-122.34333781121695,47.612585042476944,530330080021.0,327200,339990,131.99537967,delivery-only,unloading,private,1200
b2b-234-4,4,b2b-234,mfr_goods,530610413042,26940,0,0,0,-122.24560690332179,47.923535728287746,530610413042.0,,,0.0,delivery-only,loading,,0
b2b-235-0,0,b2b-235,mfr_goods,530610413042,18000,0,0,0,-122.24560690332179,47.923535728287746,530610413042.0,,,1714.5791586,delivery-only,loading,,0
b2b-235-1,1,b2b-235,mfr_goods,530330292061,19200,18000,93600,900,-122.23085629034271,47.4024621622948,530330292061.0,424200,339990,263.0835746,delivery-only,unloading,private,900
b2b-235-2,2,b2b-235,mfr_goods,530330283003,20520,18000,93600,1080,-122.2527596114022,47.428382487102446,530330283003.0,33399B,339990,1187.95841703,delivery-only,unloading,private,1080
b2b-235-3,3,b2b-235,mfr_goods,530330080021,29820,18000,93600,1080,-122.34333781121695,47.612585042476944,530330080021.0,327200,339990,131.99537967,delivery-only,unloading,private,1080
b2b-235-4,4,b2b-235,mfr_goods,530610418111,33720,18000,93600,780,-122.24468504750396,47.87695913461136,530610418111.0,423600,339990,131.5417873,delivery-only,unloading,private,780
b2b-235-5,5,b2b-235,mfr_goods,530610413042,34740,0,0,0,-122.24560690332179,47.923535728287746,530610413042.0,,,0.0,delivery-only,loading,,0
b2b-250-0,0,b2b-250,mfr_goods,530610413042,20400,0,0,0,-122.24560690332179,47.923535728287746,530610413042.0,,,659.97689835,delivery-only,loading,,0
b2b-250-1,1,b2b-250,mfr_goods,530330265003,25500,20400,93600,300,-122.33219023094608,47.50728853990679,530330265003.0,230301,339990,131.99537967,delivery-only,unloading,private,300
b2b-250-2,2,b2b-250,mfr_goods,530330305011,27240,20400,93600,1020,-122.22927341822994,47.34467047839964,530330305011.0,713900,339990,395.98613901000004,delivery-only,unloading,private,1020
b2b-250-3,3,b2b-250,mfr_goods,530330265003,31980,20400,93600,540,-122.33219023094608,47.50728853990679,530330265003.0,230301,339990,131.99537967,delivery-only,unloading,private,540
b2b-250-4,4,b2b-250,mfr_goods,530610413042,37020,0,0,0,-122.24560690332179,47.923535728287746,530610413042.0,,,0.0,delivery-only,loading,,0
b2b-265-0,0,b2b-265,mfr_goods,530530726032,37200,0,0,0,-122.77438432253852,47.18832179399421,530670105101.0,,,394.62536190000003,delivery-only,loading,,0
b2b-265-1,1,b2b-265,mfr_goods,530610519222,44880,37200,93600,1140,-122.20891133735226,47.80453023171179,530610519222.0,335314,339990,394.62536190000003,delivery-only,unloading,private,1140
b2b-265-2,2,b2b-265,mfr_goods,530530726032,55140,0,0,0,-122.77438432253852,47.18832179399421,530670105101.0,,,0.0,delivery-only,loading,,0
b2b-278-0,0,b2b-278,mfr_goods,530610413042,27000,0,0,0,-122.24560690332179,47.923535728287746,530610413042.0,,,395.07895427,delivery-only,loading,,0
b2b-278-1,1,b2b-278,mfr_goods,530330292061,28200,27000,93600,480,-122.23085629034271,47.4024621622948,530330292061.0,424200,339990,131.5417873,delivery-only,unloading,private,480
b2b-278-2,2,b2b-278,mfr_goods,530330109001,30120,27000,93600,720,-122.30676101942952,47.530719241152084,530330109001.0,339990,339990,131.5417873,delivery-only,unloading,private,720
b2b-278-3,3,b2b-278,mfr_goods,530330080021,31620,27000,93600,1080,-122.34333781121695,47.612585042476944,530330080021.0,327200,339990,131.99537967,delivery-only,unloading,private,1080
b2b-278-4,4,b2b-278,mfr_goods,530610413042,36120,0,0,0,-122.24560690332179,47.923535728287746,530610413042.0,,,0.0,delivery-only,loading,,0
b2b-280-0,0,b2b-280,mfr_goods,530610413042,27000,0,0,0,-122.24560690332179,47.923535728287746,530610413042.0,,,395.07895427,delivery-only,loading,,0
b2b-280-1,1,b2b-280,mfr_goods,530330292061,28200,27000,93600,960,-122.23085629034271,47.4024621622948,530330292061.0,424200,339990,131.5417873,delivery-only,unloading,private,960
b2b-280-2,2,b2b-280,mfr_goods,530330080021,30540,27000,93600,480,-122.34333781121695,47.612585042476944,530330080021.0,327200,339990,131.99537967,delivery-only,unloading,private,480
b2b-280-3,3,b2b-280,mfr_goods,530330054002,31380,27000,93600,780,-122.34484931121024,47.64815276963843,530330054002.0,711100,339990,131.5417873,delivery-only,unloading,private,780
b2b-280-4,4,b2b-280,mfr_goods,530610413042,35220,0,0,0,-122.24560690332179,47.923535728287746,530610413042.0,,,0.0,delivery-only,loading,,0
b2b-298-0,0,b2b-298,mfr_goods,530610408002,29400,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,1187.95841703,delivery-only,loading,,0
b2b-298-1,1,b2b-298,mfr_goods,530330203005,32100,29400,93600,480,-122.34465194376484,47.774175771919296,530330203005.0,812200,339990,131.99537967,delivery-only,unloading,private,480
b2b-298-2,2,b2b-298,mfr_goods,530530605002,37920,29400,93600,840,-122.46656229301088,47.27458103666674,530530605002.0,336390,339990,923.96765769,delivery-only,unloading,private,840
b2b-298-3,3,b2b-298,mfr_goods,530610517021,52500,29400,93600,480,-122.27802408934272,47.8258149941124,530610517021.0,423600,339990,131.99537967,delivery-only,unloading,private,480
b2b-298-4,4,b2b-298,mfr_goods,530610408002,54660,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,0.0,delivery-only,loading,,0
b2b-303-0,0,b2b-303,mfr_goods,530610408002,29400,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,791.9722780200001,delivery-only,loading,,0
b2b-303-1,1,b2b-303,mfr_goods,530530605002,37680,29400,93600,360,-122.46656229301088,47.27458103666674,530530605002.0,336390,339990,659.97689835,delivery-only,unloading,private,360
b2b-303-2,2,b2b-303,mfr_goods,530610517021,48660,29400,93600,420,-122.27802408934272,47.8258149941124,530610517021.0,423600,339990,131.99537967,delivery-only,unloading,private,420
b2b-303-3,3,b2b-303,mfr_goods,530610408002,50760,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,0.0,delivery-only,loading,,0
