level_0,payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,distance,weightInKg,deliveryType,fleetType
60247,61-b2b15110,16,b2b-10901,mfr_goods,unloading,3181,92820,20880,100800,840,-122.79042669700618,47.2126448710439,4313.0,622000,339113,0.2485484,11.793401620000001,pickup-delivery,for-hire
60248,61-db2b10901-,17,b2b-10901,mfr_goods,loading,1448,100080,0,0,0,-122.3257698329472,47.74792008251865,1448.0,,,62.94113541748047,0.0,pickup-delivery,
60859,61-db2b10986,0,b2b-10986,mfr_goods,loading,3640,34440,0,0,0,-122.2835325076672,47.812646253661285,3640.0,,,0.0,0.0,pickup-delivery,
60860,61-b2b12042,1,b2b-10986,mfr_goods,loading,3472,37620,37620,79200,960,-122.19746549792904,47.90046159159421,3472.0,621100,339113,11.01896214370154,12.24699399,pickup-delivery,for-hire
60861,61-b2b12045,2,b2b-10986,mfr_goods,loading,3472,39000,39000,79200,1080,-122.19746549792904,47.90046159159421,3472.0,621100,339113,0.2485484,12.24699399,pickup-delivery,for-hire
60862,61-b2b12042,3,b2b-10986,mfr_goods,unloading,1260,43380,38580,86400,900,-122.30590452576838,47.59997266258178,1260.0,621100,339113,32.20640447262531,12.24699399,pickup-delivery,for-hire
60863,61-b2b12045,4,b2b-10986,mfr_goods,unloading,1260,44280,40080,86400,720,-122.30501677271263,47.59402390952943,1260.0,621100,339113,0.2485484,12.24699399,pickup-delivery,for-hire
60864,61-db2b10986-,5,b2b-10986,mfr_goods,loading,3640,47220,0,0,0,-122.2835325076672,47.812646253661285,3640.0,,,21.974227239766435,0.0,pickup-delivery,
60871,61-db2b10988,0,b2b-10988,mfr_goods,loading,3640,34260,0,0,0,-122.2835325076672,47.812646253661285,3640.0,,,0.0,0.0,pickup-delivery,
60872,61-b2b12029,1,b2b-10988,mfr_goods,loading,3472,37440,37440,79200,1140,-122.19746549792904,47.90046159159421,3472.0,621100,339113,11.01896214370154,11.793401620000001,pickup-delivery,for-hire
60873,61-b2b12029,2,b2b-10988,mfr_goods,unloading,3677,39480,38580,86400,900,-122.19050629268703,47.82194706975689,3677.0,621100,339113,8.759495055482676,11.793401620000001,pickup-delivery,for-hire
60874,61-db2b10988-,3,b2b-10988,mfr_goods,loading,3640,41040,0,0,0,-122.2835325076672,47.812646253661285,3640.0,,,6.439780027565371,0.0,pickup-delivery,
60897,61-db2b10992,0,b2b-10992,mfr_goods,loading,3640,30000,0,0,0,-122.2835325076672,47.812646253661285,3640.0,,,0.0,0.0,pickup-delivery,
60898,61-b2b24808,1,b2b-10992,mfr_goods,loading,3569,34200,34200,79200,2400,-122.35647605484672,47.80899302922178,3569.0,Crossing,423800,5.204663606504818,15987.770265390001,pickup-delivery,for-hire
60899,61-b2b22767,2,b2b-10992,mfr_goods,loading,3539,37140,18000,79200,660,-122.28670507440758,47.868654207304544,3539.0,541700,33441A,7.943837011824218,48.98797596,pickup-delivery,for-hire
60900,61-b2b24808,3,b2b-10992,mfr_goods,unloading,3860,40380,36600,100800,7260,-122.18201315878572,48.25233607153138,4536.0,Crossing,423800,42.29326505349087,15987.770265390001,pickup-delivery,for-hire
60901,61-b2b21398,4,b2b-10992,mfr_goods,loading,3910,48720,21540,79200,960,-122.18871045747976,48.03537319941181,3910.0,325190,334418,23.675877903463544,49.44156833,pickup-delivery,for-hire
60902,61-b2b22200,5,b2b-10992,mfr_goods,loading,3517,51000,36120,79200,300,-122.26181524372946,47.88349957397647,3517.0,541200,339940,17.151050371348642,131.99537967,pickup-delivery,for-hire
60903,61-b2b19430,6,b2b-10992,mfr_goods,loading,3455,51660,36540,79200,600,-122.30660381451672,47.94838889595016,3455.0,441000,336310,6.101720776280701,210.92045205000002,pickup-delivery,for-hire
60904,61-b2b21398,7,b2b-10992,mfr_goods,unloading,3248,63840,22500,100800,600,-122.22687900228613,46.7689413928168,5425.0,325190,334418,112.7861482723436,49.44156833,pickup-delivery,for-hire
60905,61-b2b22200,8,b2b-10992,mfr_goods,unloading,2912,69060,36420,100800,960,-121.57154802106145,47.06787442561271,20095.0,541200,339940,44.94970826773613,131.99537967,pickup-delivery,for-hire
60906,61-b2b22767,9,b2b-10992,mfr_goods,unloading,2128,71160,18660,100800,1140,-121.47570027834682,47.10458526658929,162.0,541700,33441A,20.133127497972485,48.98797596,pickup-delivery,for-hire
60907,61-b2b19430,10,b2b-10992,mfr_goods,unloading,3895,82380,37140,100800,420,-121.41045972046028,48.1863463367089,4014.0,441000,336310,98.06796221111382,210.92045205000002,pickup-delivery,for-hire
60908,61-db2b10992-,11,b2b-10992,mfr_goods,loading,3640,87480,0,0,0,-122.2835325076672,47.812646253661285,3640.0,,,76.2286720847819,0.0,pickup-delivery,
60915,61-db2b10994,0,b2b-10994,fuel_fert,loading,3640,61800,0,0,0,-122.2835325076672,47.812646253661285,3640.0,,,0.0,0.0,pickup-delivery,
60916,61-b2b17996,1,b2b-10994,fuel_fert,loading,3760,64620,30180,79200,5400,-122.04894026886784,47.909161852112334,3760.0,212100,325310.0,19.172241442973384,23686.139969030002,pickup-delivery,for-hire
60917,61-b2b17996,2,b2b-10994,fuel_fert,unloading,1236,73740,35580,86400,5340,-122.3319874435126,47.60732402985446,1236.0,212100,325310.0,36.261897909113,23686.139969030002,pickup-delivery,for-hire
60918,61-db2b10994-,3,b2b-10994,fuel_fert,loading,3640,81180,0,0,0,-122.2835325076672,47.812646253661285,3640.0,,,20.847530000447104,0.0,pickup-delivery,
61013,61-db2b11011,0,b2b-11011,mfr_goods,loading,3191,24600,0,0,0,-122.63406251874072,47.01170184123696,4423.0,,,0.0,0.0,pickup-delivery,
61014,61-b2b15643,1,b2b-11011,mfr_goods,loading,3718,35040,30120,79200,720,-122.12378684231128,47.82920308897614,3718.0,531000,337110,84.49170256932672,715.31516749,pickup-delivery,for-hire
61015,61-b2b20330,2,b2b-11011,mfr_goods,loading,3513,36840,26940,79200,300,-122.25387755760958,47.87704755000373,3513.0,621200,339116,10.548064410062812,12.24699399,pickup-delivery,for-hire
61016,61-b2b20330,3,b2b-11011,mfr_goods,unloading,3866,40080,27240,86400,600,-122.12432058990568,48.19187076395384,3866.0,621200,339116,34.0374468710049,12.24699399,pickup-delivery,for-hire
61017,61-b2b15643,4,b2b-11011,mfr_goods,unloading,1161,43500,30840,86400,840,-122.31044349235232,47.636836964071136,1161.0,531000,337110,58.74744176595773,715.31516749,pickup-delivery,for-hire
61018,61-db2b11011-,5,b2b-11011,mfr_goods,loading,3191,50760,0,0,0,-122.63406251874072,47.01170184123696,4423.0,,,62.75407999360606,0.0,pickup-delivery,
61091,61-db2b11026,0,b2b-11026,bulk,loading,3181,42000,0,0,0,-122.79042669700618,47.2126448710439,4271.0,,,0.0,0.0,pickup-delivery,
61092,61-b2b11437,1,b2b-11026,bulk,loading,3191,50400,14400,68400,960,-122.63406251874072,47.01170184123696,2595.0,230301,321200,23.36709074721352,1552.19309014,pickup-delivery,for-hire
61093,61-b2b11207,2,b2b-11026,bulk,loading,3191,51360,16200,68400,2880,-122.63406251874072,47.01170184123696,2557.0,321100,113000,0.2485484,5177.3033111800005,pickup-delivery,for-hire
61094,61-b2b11207,3,b2b-11026,bulk,unloading,3721,62820,19080,86400,600,-122.08540777674573,47.8012022882068,3721.0,321100,113000,83.46879651209223,5177.3033111800005,pickup-delivery,for-hire
61095,61-b2b11437,4,b2b-11026,bulk,unloading,3483,64620,15360,86400,1080,-122.18421462805038,47.890153091603935,3483.0,230301,321200,11.784644719994208,1552.19309014,pickup-delivery,for-hire
61096,61-db2b11026-,5,b2b-11026,bulk,loading,3181,73980,0,0,0,-122.79042669700618,47.2126448710439,4271.0,,,80.99576992856448,0.0,pickup-delivery,
61179,61-db2b11041,0,b2b-11041,bulk,loading,3895,31500,0,0,0,-121.41045972046028,48.1863463367089,4195.0,,,0.0,0.0,pickup-delivery,
61180,61-b2b10764,1,b2b-11041,bulk,loading,3761,38100,38100,79200,2880,-122.03073532805638,47.92453282326704,3761.0,311210,1111B0,54.22580853475257,9071.8474,pickup-delivery,for-hire
