carrierId,level_0,tourId,vehicleId,vehicleTypeId,warehouseZone,warehouseX,warehouseY,mesoZone,distance
22142721-2265hdt-d,54004,b2b-54004,22142721-2265hdt-d-c53-191029,hdt-D-Diesel-2018-Baseline,2912,-121.57154802106145,47.06787442561271,20009.0,96.93446827154985
22143321-2273hdt-d,54012,b2b-54012,22143321-2273hdt-d-c53-191277,hdt-D-Diesel-2018-Baseline,2912,-121.57154802106145,47.06787442561271,20009.0,96.93446827154985
22144331-2278hdt-d,54017,b2b-54017,22144331-2278hdt-d-c53-191432,hdt-D-Diesel-2018-Baseline,2912,-121.57154802106145,47.06787442561271,20009.0,96.93446827154985
22145281-2282hdt-d,54022,b2b-54022,22145281-2282hdt-d-c53-191548,hdt-D-Diesel-2018-Baseline,3249,-122.20981561308568,46.79960290846447,20012.0,77.22557146357349
22145741-2288hdt-d,54028,b2b-54028,22145741-2288hdt-d-c53-191722,hdt-D-Diesel-2018-Baseline,3249,-122.20981561308568,46.79960290846447,20012.0,52.486453764496886
22154591-2296hdt-d,54036,b2b-54036,22154591-2296hdt-d-c53-191948,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,20034.0,240.26658712154017
22167811-2302hdt-d,54042,b2b-54042,22167811-2302hdt-d-c53-192114,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,20061.0,258.8335165880614
22189281-2347hdt-d,54089,b2b-54089,22189281-2347hdt-d-c53-193419,hdt-D-Diesel-2018-Baseline,2128,-121.47570027834682,47.10458526658929,20112.0,106.18159060693084
22194831-2355hdt-d,54098,b2b-54098,22194831-2355hdt-d-c53-193627,hdt-D-Diesel-2018-Baseline,1781,-122.35476034216556,47.5124890904847,1781.0,108.60825125790144
22195051-2374hdt-d,54118,b2b-54118,22195051-2374hdt-d-c53-194210,hdt-D-Diesel-2018-Baseline,2476,-122.58763170794444,47.52896534233289,2476.0,217.35424478891449
22195121-2377hdt-d,54121,b2b-54121,22195121-2377hdt-d-c53-194305,hdt-D-Diesel-2018-Baseline,3010,-122.4438120721124,47.10952216685,3010.0,36.856028589092645
22195141-2381hdt-d,54129,b2b-54129,22195141-2381hdt-d-c53-194421,hdt-D-Diesel-2018-Baseline,3291,-122.37157754812588,47.20746667772621,3291.0,82.03194238987786
22195151-2383hdt-d,54133,b2b-54133,22195151-2383hdt-d-c53-194479,hdt-D-Diesel-2018-Baseline,3269,-122.30106810208166,47.19061318040725,3269.0,123.84683492639329
22195401-2407hdt-d,54169,b2b-54169,22195401-2407hdt-d-c53-195207,hdt-D-Diesel-2018-Baseline,3181,-122.79042669700618,47.2126448710439,4284.0,69.47685618455716
22195661-2417hdt-d,54182,b2b-54182,22195661-2417hdt-d-c53-195490,hdt-D-Diesel-2018-Baseline,2128,-121.47570027834682,47.10458526658929,80.0,126.5676671716005
22195791-2421hdt-d,54187,b2b-54187,22195791-2421hdt-d-c53-195609,hdt-D-Diesel-2018-Baseline,2128,-121.47570027834682,47.10458526658929,738.0,126.5676671716005
22195941-2430hdt-d,54199,b2b-54199,22195941-2430hdt-d-c53-195865,hdt-D-Diesel-2018-Baseline,3854,-122.37796669465752,48.27166772354568,4504.0,229.5024001335412
22195951-2431hdt-d,54201,b2b-54201,22195951-2431hdt-d-c53-195892,hdt-D-Diesel-2018-Baseline,3854,-122.37796669465752,48.27166772354568,4482.0,209.3619958468301
22198961-2444hdt-d,54219,b2b-54219,22198961-2444hdt-d-c53-196260,hdt-D-Diesel-2018-Baseline,2349,-121.2112825642717,47.64375868029919,20128.0,163.1990524399907
22202951-2462hdt-d,54237,b2b-54237,22202951-2462hdt-d-c53-196810,hdt-D-Diesel-2018-Baseline,2912,-121.57154802106145,47.06787442561271,20009.0,96.93446827154985
22203431-2465hdt-d,54240,b2b-54240,22203431-2465hdt-d-c53-196903,hdt-D-Diesel-2018-Baseline,2912,-121.57154802106145,47.06787442561271,20009.0,96.93446827154985
22208361-2491hdt-d,54266,b2b-54266,22208361-2491hdt-d-c53-197709,hdt-D-Diesel-2018-Baseline,3249,-122.20981561308568,46.79960290846447,20012.0,52.486453764496886
22210361-2517hdt-d,54293,b2b-54293,22210361-2517hdt-d-c53-198567,hdt-D-Diesel-2018-Baseline,3249,-122.20981561308568,46.79960290846447,20013.0,98.70509556820946
22211201-2518hdt-d,54294,b2b-54294,22211201-2518hdt-d-c53-198600,hdt-D-Diesel-2018-Baseline,3249,-122.20981561308568,46.79960290846447,20014.0,133.81687499655405
22250241-2555hdt-d,54335,b2b-54335,22250241-2555hdt-d-c53-199777,hdt-D-Diesel-2018-Baseline,3248,-122.22687900228613,46.7689413928168,5832.0,76.09986806395187
22250391-2561hdt-d,54341,b2b-54341,22250391-2561hdt-d-c53-199965,hdt-D-Diesel-2018-Baseline,3205,-122.3834825564397,46.88687391044784,6167.0,68.4673341251304
22256751-2587hdt-d,54370,b2b-54370,22256751-2587hdt-d-c53-200781,hdt-D-Diesel-2018-Baseline,2128,-121.47570027834682,47.10458526658929,20112.0,106.18159060693084
22263151-2606hdt-d,54392,b2b-54392,22263151-2606hdt-d-c53-201396,hdt-D-Diesel-2018-Baseline,1796,-122.35276969939204,47.49794597261971,1796.0,218.0817792353301
22263211-2607hdt-d,54394,b2b-54394,22263211-2607hdt-d-c53-201428,hdt-D-Diesel-2018-Baseline,2186,-121.99244665854452,47.38394721856403,2186.0,161.02603535838298
22263511-2626hdt-d,54418,b2b-54418,22263511-2626hdt-d-c53-202056,hdt-D-Diesel-2018-Baseline,1348,-122.3127090362324,47.53770240535528,1348.0,131.66574999250125
22263511-2627hdt-d,54420,b2b-54420,22263511-2627hdt-d-c53-202088,hdt-D-Diesel-2018-Baseline,1348,-122.3127090362324,47.53770240535528,1348.0,142.6291128006016
22263591-2630hdt-d,54423,b2b-54423,22263591-2630hdt-d-c53-202188,hdt-D-Diesel-2018-Baseline,2501,-122.67357439246508,47.47996088713405,2501.0,183.1670962224319
22263631-2635hdt-d,54430,b2b-54430,22263631-2635hdt-d-c53-202352,hdt-D-Diesel-2018-Baseline,3266,-122.2731433637626,47.195560506040735,3266.0,93.11139301627384
22263641-2636hdt-d,54431,b2b-54431,22263641-2636hdt-d-c53-202386,hdt-D-Diesel-2018-Baseline,3004,-122.35239578002528,47.112484583167294,3004.0,165.6082090804921
22263781-2662hdt-d,54488,b2b-54488,22263781-2662hdt-d-c53-203237,hdt-D-Diesel-2018-Baseline,3854,-122.37796669465752,48.27166772354568,3332.0,211.45441389789283
22263811-2665hdt-d,54500,b2b-54500,22263811-2665hdt-d-c53-203317,hdt-D-Diesel-2018-Baseline,3854,-122.37796669465752,48.27166772354568,3343.0,433.2285257087752
22264021-2670hdt-d,54513,b2b-54513,22264021-2670hdt-d-c53-203520,hdt-D-Diesel-2018-Baseline,3877,-122.13494035830756,48.17224161308812,3877.0,217.8093098436837
22264041-2671hdt-d,54514,b2b-54514,22264041-2671hdt-d-c53-203553,hdt-D-Diesel-2018-Baseline,3181,-122.79042669700618,47.2126448710439,4270.0,83.06660614032506
22264121-2679hdt-d,54532,b2b-54532,22264121-2679hdt-d-c53-203817,hdt-D-Diesel-2018-Baseline,3248,-122.22687900228613,46.7689413928168,335.0,100.73888585042056
22264491-2696hdt-d,54562,b2b-54562,22264491-2696hdt-d-c53-204353,hdt-D-Diesel-2018-Baseline,3855,-122.22880145083732,48.28090795714298,4535.0,425.4705593899653
22264511-2698hdt-d,54571,b2b-54571,22264511-2698hdt-d-c53-204420,hdt-D-Diesel-2018-Baseline,3860,-122.18201315878572,48.25233607153138,4536.0,221.7359199791348
22264521-2699hdt-d,54579,b2b-54579,22264521-2699hdt-d-c53-204452,hdt-D-Diesel-2018-Baseline,3854,-122.37796669465752,48.27166772354568,4540.0,395.3126602925724
22265911-2705hdt-d,54591,b2b-54591,22265911-2705hdt-d-c53-204633,hdt-D-Diesel-2018-Baseline,2349,-121.2112825642717,47.64375868029919,20128.0,163.1990524399907
22265981-2706hdt-d,54593,b2b-54593,22265981-2706hdt-d-c53-204664,hdt-D-Diesel-2018-Baseline,2349,-121.2112825642717,47.64375868029919,20128.0,163.1990524399907
22271751-2710hdt-d,54597,b2b-54597,22271751-2710hdt-d-c53-204780,hdt-D-Diesel-2018-Baseline,2912,-121.57154802106145,47.06787442561271,20005.0,93.02152885277314
22279001-2730hdt-d,54617,b2b-54617,22279001-2730hdt-d-c53-205358,hdt-D-Diesel-2018-Baseline,2912,-121.57154802106145,47.06787442561271,20009.0,92.67324090967492
