taz,parkingType,chargingPointType,housingType,propertyType,county,locationX,locationY,parkingZoneId,reservedFor,pricingModel,feeInCents,numStalls,timeRestrictions
,Commercial,NoCharger,non-res,,,-122.3397401,47.6083867,519734,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3321395,47.6037351,519751,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3450502,47.614747,519756,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3322317,47.6021314,519787,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3169661,47.614646,519801,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.31933,47.6137748,519810,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3407341,47.6112364,519815,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3415369,47.6103341,519851,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.334325,47.5981177,519890,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3553617,47.6193517,519895,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.345442,47.6151932,519896,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3379193,47.6080371,519912,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3193309,47.6138583,519923,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3194653,47.6203678,519957,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3482137,47.6144793,519962,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3316889,47.5986883,519966,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3449707,47.612372,519997,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3335508,47.6035741,520012,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3429664,47.6111829,520031,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3168932,47.6098095,520035,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3527049,47.6202187,520068,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3383423,47.6088174,520076,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3485467,47.6170291,520079,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.330926,47.6003966,520100,Any,Block,0.0,1.0,
