"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(5, 10]","(-20, -19]","(34467.12, 34920.635]",0.338175271449798
"(5, 10]","(-20, -19]","(34920.635, 35374.15]",0.338175271449798
"(5, 10]","(-20, -19]","(35374.15, 35827.664]",0.338175271449798
"(5, 10]","(-20, -19]","(35827.664, 36281.179]",0.338175271449798
"(10, 15]","(-20, -19]","(11337.868, 11791.383]",0.155624898183147
"(10, 15]","(-20, -19]","(11791.383, 12244.898]",0.155624898183147
"(10, 15]","(-20, -19]","(12244.898, 12698.413]",0.155624898183147
"(10, 15]","(-20, -19]","(12698.413, 13151.927]",0.155624898183147
"(10, 15]","(-20, -19]","(13151.927, 13605.442]",0.155624898183147
"(10, 15]","(-20, -19]","(13605.442, 14058.957]",0.155624898183147
"(10, 15]","(-20, -19]","(14058.957, 14512.472]",0.151849359026066
"(10, 15]","(-20, -19]","(14512.472, 14965.986]",0.151849359026066
"(10, 15]","(-20, -19]","(14965.986, 15419.501]",0.151849359026066
"(10, 15]","(-20, -19]","(15419.501, 15873.016]",0.151849359026066
"(10, 15]","(-20, -19]","(15873.016, 16326.531]",0.151849359026066
"(10, 15]","(-20, -19]","(16326.531, 16780.045]",0.151849359026066
"(10, 15]","(-20, -19]","(16780.045, 17233.56]",0.151849359026066
"(10, 15]","(-20, -19]","(17233.56, 17687.075]",0.151849359026066
"(10, 15]","(-20, -19]","(17687.075, 18140.59]",0.151849359026066
"(10, 15]","(-20, -19]","(18140.59, 18594.104]",0.154942364589752
"(10, 15]","(-20, -19]","(18594.104, 19047.619]",0.153092159001367
"(10, 15]","(-20, -19]","(19047.619, 19501.134]",0.153092159001367
"(10, 15]","(-20, -19]","(19501.134, 19954.649]",0.161656844433463
"(10, 15]","(-20, -19]","(19954.649, 20408.163]",0.1532904327066
"(10, 15]","(-20, -19]","(20408.163, 20861.678]",0.177430461351426
"(10, 15]","(-20, -19]","(20861.678, 21315.193]",0.154526443130616
"(10, 15]","(-20, -19]","(21315.193, 21768.707]",0.149209378561964
"(10, 15]","(-20, -19]","(21768.707, 22222.222]",0.130924385879135
"(10, 15]","(-20, -19]","(22222.222, 22675.737]",0.125520970111697
"(10, 15]","(-20, -19]","(22675.737, 23129.252]",0.121692378378372
"(10, 15]","(-20, -19]","(23129.252, 23582.766]",0.121692378378372
"(10, 15]","(-20, -19]","(23582.766, 24036.281]",0.124122409801747
"(10, 15]","(-20, -19]","(24036.281, 24489.796]",0.125667698664022
"(10, 15]","(-20, -19]","(24489.796, 24943.311]",0.123283378571589
"(10, 15]","(-20, -19]","(24943.311, 25396.825]",0.123283378571589
"(10, 15]","(-20, -19]","(25396.825, 25850.34]",0.125658089001461
"(10, 15]","(-20, -19]","(25850.34, 26303.855]",0.125658089001461
"(10, 15]","(-20, -19]","(26303.855, 26757.37]",0.125658089001461
"(10, 15]","(-20, -19]","(26757.37, 27210.884]",0.125658089001461
"(10, 15]","(-20, -19]","(27210.884, 27664.399]",0.127460950512514
"(10, 15]","(-20, -19]","(27664.399, 28117.914]",0.1249179005634
"(10, 15]","(-20, -19]","(28117.914, 28571.429]",0.1249179005634
"(10, 15]","(-20, -19]","(28571.429, 29024.943]",0.1249179005634
"(10, 15]","(-20, -19]","(29024.943, 29478.458]",0.1249179005634
"(10, 15]","(-20, -19]","(29478.458, 29931.973]",0.1249179005634
"(10, 15]","(-20, -19]","(29931.973, 30385.488]",0.1249179005634
"(10, 15]","(-20, -19]","(30385.488, 30839.002]",0.1249179005634
"(10, 15]","(-20, -19]","(30839.002, 31292.517]",0.1249179005634
"(10, 15]","(-20, -19]","(31292.517, 31746.032]",0.1249179005634
"(10, 15]","(-20, -19]","(31746.032, 32199.546]",0.1249179005634
"(10, 15]","(-20, -19]","(32199.546, 32653.061]",0.1249179005634
"(10, 15]","(-20, -19]","(32653.061, 33106.576]",0.1249179005634
"(10, 15]","(-20, -19]","(33106.576, 33560.091]",0.129754135813364
"(10, 15]","(-20, -19]","(33560.091, 34013.605]",0.132670145600525
"(10, 15]","(-20, -19]","(34013.605, 34467.12]",0.132670145600525
"(10, 15]","(-20, -19]","(34467.12, 34920.635]",0.132670145600525
"(10, 15]","(-20, -19]","(34920.635, 35374.15]",0.132670145600525
"(10, 15]","(-20, -19]","(35374.15, 35827.664]",0.132670145600525
"(10, 15]","(-20, -19]","(35827.664, 36281.179]",0.132670145600525
"(15, 20]","(-20, -19]","(11337.868, 11791.383]",0.103224320898185
"(15, 20]","(-20, -19]","(11791.383, 12244.898]",0.103224320898185
"(15, 20]","(-20, -19]","(12244.898, 12698.413]",0.103224320898185
"(15, 20]","(-20, -19]","(12698.413, 13151.927]",0.103224320898185
"(15, 20]","(-20, -19]","(13151.927, 13605.442]",0.103224320898185
"(15, 20]","(-20, -19]","(13605.442, 14058.957]",0.103224320898185
"(15, 20]","(-20, -19]","(14058.957, 14512.472]",0.0865545145825602
"(15, 20]","(-20, -19]","(14512.472, 14965.986]",0.0865545145825602
"(15, 20]","(-20, -19]","(14965.986, 15419.501]",0.0865545145825602
"(15, 20]","(-20, -19]","(15419.501, 15873.016]",0.0865545145825602
"(15, 20]","(-20, -19]","(15873.016, 16326.531]",0.0865545145825602
"(15, 20]","(-20, -19]","(16326.531, 16780.045]",0.0865545145825602
"(15, 20]","(-20, -19]","(16780.045, 17233.56]",0.0877454253474663
"(15, 20]","(-20, -19]","(17233.56, 17687.075]",0.0877454253474663
"(15, 20]","(-20, -19]","(17687.075, 18140.59]",0.0877454253474663
"(15, 20]","(-20, -19]","(18140.59, 18594.104]",0.0877454253474663
"(15, 20]","(-20, -19]","(18594.104, 19047.619]",0.0858952197590813
"(15, 20]","(-20, -19]","(19047.619, 19501.134]",0.0975484711728285
"(15, 20]","(-20, -19]","(19501.134, 19954.649]",0.104946489936705
"(15, 20]","(-20, -19]","(19954.649, 20408.163]",0.101347697908966
"(15, 20]","(-20, -19]","(20408.163, 20861.678]",0.133648528632336
"(15, 20]","(-20, -19]","(20861.678, 21315.193]",0.110744510411527
"(15, 20]","(-20, -19]","(21315.193, 21768.707]",0.0909666800331285
"(15, 20]","(-20, -19]","(21768.707, 22222.222]",0.106213510480379
"(15, 20]","(-20, -19]","(22222.222, 22675.737]",0.108348141024025
"(15, 20]","(-20, -19]","(22675.737, 23129.252]",0.104418132110338
"(15, 20]","(-20, -19]","(23129.252, 23582.766]",0.104418132110338
"(15, 20]","(-20, -19]","(23582.766, 24036.281]",0.0999798681578246
"(15, 20]","(-20, -19]","(24036.281, 24489.796]",0.099700741762342
"(15, 20]","(-20, -19]","(24489.796, 24943.311]",0.0997107571800966
"(15, 20]","(-20, -19]","(24943.311, 25396.825]",0.0997107571800966
"(15, 20]","(-20, -19]","(25396.825, 25850.34]",0.102085467609968
"(15, 20]","(-20, -19]","(25850.34, 26303.855]",0.102085467609968
"(15, 20]","(-20, -19]","(26303.855, 26757.37]",0.102085467609968
"(15, 20]","(-20, -19]","(26757.37, 27210.884]",0.102085467609968
"(15, 20]","(-20, -19]","(27210.884, 27664.399]",0.102085467609968
"(15, 20]","(-20, -19]","(27664.399, 28117.914]",0.0995424176608541
"(15, 20]","(-20, -19]","(28117.914, 28571.429]",0.0995424176608541
"(15, 20]","(-20, -19]","(28571.429, 29024.943]",0.0995424176608541
