"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(5, 10]","(-20, -19]","(34467.12, 34920.635]",0.17898263488592
"(5, 10]","(-20, -19]","(34920.635, 35374.15]",0.17898263488592
"(5, 10]","(-20, -19]","(35374.15, 35827.664]",0.17898263488592
"(5, 10]","(-20, -19]","(35827.664, 36281.179]",0.171160625643166
"(10, 15]","(-20, -19]","(11337.868, 11791.383]",0.0412353061620778
"(10, 15]","(-20, -19]","(11791.383, 12244.898]",0.0339444932697678
"(10, 15]","(-20, -19]","(12244.898, 12698.413]",0.0339444932697678
"(10, 15]","(-20, -19]","(12698.413, 13151.927]",0.0339444932697678
"(10, 15]","(-20, -19]","(13151.927, 13605.442]",0.0317878068928519
"(10, 15]","(-20, -19]","(13605.442, 14058.957]",0.0317878068928519
"(10, 15]","(-20, -19]","(14058.957, 14512.472]",0.0258435203470473
"(10, 15]","(-20, -19]","(14512.472, 14965.986]",0.0258435203470473
"(10, 15]","(-20, -19]","(14965.986, 15419.501]",0.0234832443745553
"(10, 15]","(-20, -19]","(15419.501, 15873.016]",0.0193314070725273
"(10, 15]","(-20, -19]","(15873.016, 16326.531]",0.0222257246540551
"(10, 15]","(-20, -19]","(16326.531, 16780.045]",0.0345846757900356
"(10, 15]","(-20, -19]","(16780.045, 17233.56]",0.0345846757900356
"(10, 15]","(-20, -19]","(17233.56, 17687.075]",0.0345846757900356
"(10, 15]","(-20, -19]","(17687.075, 18140.59]",0.0356257767595291
"(10, 15]","(-20, -19]","(18140.59, 18594.104]",0.0373368807946225
"(10, 15]","(-20, -19]","(18594.104, 19047.619]",0.0373368807946225
"(10, 15]","(-20, -19]","(19047.619, 19501.134]",0.0385251377019174
"(10, 15]","(-20, -19]","(19501.134, 19954.649]",0.0472634037144775
"(10, 15]","(-20, -19]","(19954.649, 20408.163]",0.0643434376458545
"(10, 15]","(-20, -19]","(20408.163, 20861.678]",0.0643434376458545
"(10, 15]","(-20, -19]","(20861.678, 21315.193]",0.0620708577370785
"(10, 15]","(-20, -19]","(21315.193, 21768.707]",0.0494642080472297
"(10, 15]","(-20, -19]","(21768.707, 22222.222]",0.0540680035823276
"(10, 15]","(-20, -19]","(22222.222, 22675.737]",0.0409546702147353
"(10, 15]","(-20, -19]","(22675.737, 23129.252]",0.0219431914043798
"(10, 15]","(-20, -19]","(23129.252, 23582.766]",0.0219431914043798
"(10, 15]","(-20, -19]","(23582.766, 24036.281]",0.0215567734957752
"(10, 15]","(-20, -19]","(24036.281, 24489.796]",0.0215567734957752
"(10, 15]","(-20, -19]","(24489.796, 24943.311]",0.019728803390332
"(10, 15]","(-20, -19]","(24943.311, 25396.825]",0.019728803390332
"(10, 15]","(-20, -19]","(25396.825, 25850.34]",0.019728803390332
"(10, 15]","(-20, -19]","(25850.34, 26303.855]",0.019728803390332
"(10, 15]","(-20, -19]","(26303.855, 26757.37]",0.019728803390332
"(10, 15]","(-20, -19]","(26757.37, 27210.884]",0.019728803390332
"(10, 15]","(-20, -19]","(27210.884, 27664.399]",0.019728803390332
"(10, 15]","(-20, -19]","(27664.399, 28117.914]",0.019728803390332
"(10, 15]","(-20, -19]","(28117.914, 28571.429]",0.019728803390332
"(10, 15]","(-20, -19]","(28571.429, 29024.943]",0.019728803390332
"(10, 15]","(-20, -19]","(29024.943, 29478.458]",0.017839788825798
"(10, 15]","(-20, -19]","(29478.458, 29931.973]",0.017839788825798
"(10, 15]","(-20, -19]","(29931.973, 30385.488]",0.017839788825798
"(10, 15]","(-20, -19]","(30385.488, 30839.002]",0.017839788825798
"(10, 15]","(-20, -19]","(30839.002, 31292.517]",0.017839788825798
"(10, 15]","(-20, -19]","(31292.517, 31746.032]",0.017839788825798
"(10, 15]","(-20, -19]","(31746.032, 32199.546]",0.0183019916042949
"(10, 15]","(-20, -19]","(32199.546, 32653.061]",0.0190434589074942
"(10, 15]","(-20, -19]","(32653.061, 33106.576]",0.0190434589074942
"(10, 15]","(-20, -19]","(33106.576, 33560.091]",0.0190434589074942
"(10, 15]","(-20, -19]","(33560.091, 34013.605]",0.0190434589074942
"(10, 15]","(-20, -19]","(34013.605, 34467.12]",0.0190434589074942
"(10, 15]","(-20, -19]","(34467.12, 34920.635]",0.0190434589074942
"(10, 15]","(-20, -19]","(34920.635, 35374.15]",0.0190434589074942
"(10, 15]","(-20, -19]","(35374.15, 35827.664]",0.0190434589074942
"(10, 15]","(-20, -19]","(35827.664, 36281.179]",0.0190434589074942
"(15, 20]","(-20, -19]","(11337.868, 11791.383]",0.0451180160143263
"(15, 20]","(-20, -19]","(11791.383, 12244.898]",0.0312076298754144
"(15, 20]","(-20, -19]","(12244.898, 12698.413]",0.0312076298754144
"(15, 20]","(-20, -19]","(12698.413, 13151.927]",0.0312076298754144
"(15, 20]","(-20, -19]","(13151.927, 13605.442]",0.0290509434984984
"(15, 20]","(-20, -19]","(13605.442, 14058.957]",0.0290509434984984
"(15, 20]","(-20, -19]","(14058.957, 14512.472]",0.027000826756018
"(15, 20]","(-20, -19]","(14512.472, 14965.986]",0.027000826756018
"(15, 20]","(-20, -19]","(14965.986, 15419.501]",0.024640550783526
"(15, 20]","(-20, -19]","(15419.501, 15873.016]",0.0129422429405496
"(15, 20]","(-20, -19]","(15873.016, 16326.531]",0.0158365605220773
"(15, 20]","(-20, -19]","(16326.531, 16780.045]",0.0162925847958161
"(15, 20]","(-20, -19]","(16780.045, 17233.56]",0.0162925847958161
"(15, 20]","(-20, -19]","(17233.56, 17687.075]",0.0162925847958161
"(15, 20]","(-20, -19]","(17687.075, 18140.59]",0.0173336857653095
"(15, 20]","(-20, -19]","(18140.59, 18594.104]",0.0190447898004029
"(15, 20]","(-20, -19]","(18594.104, 19047.619]",0.0190447898004029
"(15, 20]","(-20, -19]","(19047.619, 19501.134]",0.0224973230121297
"(15, 20]","(-20, -19]","(19501.134, 19954.649]",0.0312355890246898
"(15, 20]","(-20, -19]","(19954.649, 20408.163]",0.0452433532556463
"(15, 20]","(-20, -19]","(20408.163, 20861.678]",0.0452433532556463
"(15, 20]","(-20, -19]","(20861.678, 21315.193]",0.0429707733468703
"(15, 20]","(-20, -19]","(21315.193, 21768.707]",0.0450750623956615
"(15, 20]","(-20, -19]","(21768.707, 22222.222]",0.0391652262936967
"(15, 20]","(-20, -19]","(22222.222, 22675.737]",0.0252535318002159
"(15, 20]","(-20, -19]","(22675.737, 23129.252]",0.0188462687689518
"(15, 20]","(-20, -19]","(23129.252, 23582.766]",0.0188462687689518
"(15, 20]","(-20, -19]","(23582.766, 24036.281]",0.0184598508603472
"(15, 20]","(-20, -19]","(24036.281, 24489.796]",0.0184598508603472
"(15, 20]","(-20, -19]","(24489.796, 24943.311]",0.016631880754904
"(15, 20]","(-20, -19]","(24943.311, 25396.825]",0.016631880754904
"(15, 20]","(-20, -19]","(25396.825, 25850.34]",0.016631880754904
"(15, 20]","(-20, -19]","(25850.34, 26303.855]",0.016631880754904
"(15, 20]","(-20, -19]","(26303.855, 26757.37]",0.016631880754904
"(15, 20]","(-20, -19]","(26757.37, 27210.884]",0.016631880754904
"(15, 20]","(-20, -19]","(27210.884, 27664.399]",0.016631880754904
"(15, 20]","(-20, -19]","(27664.399, 28117.914]",0.016631880754904
"(15, 20]","(-20, -19]","(28117.914, 28571.429]",0.016631880754904
"(15, 20]","(-20, -19]","(28571.429, 29024.943]",0.016631880754904
"(15, 20]","(-20, -19]","(29024.943, 29478.458]",0.0147428661903699
"(15, 20]","(-20, -19]","(29478.458, 29931.973]",0.0147428661903699
"(15, 20]","(-20, -19]","(29931.973, 30385.488]",0.0147428661903699
"(15, 20]","(-20, -19]","(30385.488, 30839.002]",0.0147428661903699
