"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(5, 10]","(-20, -19]","(31292.517, 31746.032]",-5.49327549312403
"(5, 10]","(-20, -19]","(31746.032, 32199.546]",-5.49327549312403
"(5, 10]","(-20, -19]","(32199.546, 32653.061]",-5.49327549312403
"(5, 10]","(-20, -19]","(32653.061, 33106.576]",-5.49327549312403
"(5, 10]","(-20, -19]","(33106.576, 33560.091]",-5.49327549312403
"(5, 10]","(-20, -19]","(33560.091, 34013.605]",-5.49327549312403
"(5, 10]","(-20, -19]","(34013.605, 34467.12]",-5.49327549312403
"(5, 10]","(-20, -19]","(34467.12, 34920.635]",-5.49327549312403
"(5, 10]","(-20, -19]","(34920.635, 35374.15]",-5.49327549312403
"(5, 10]","(-20, -19]","(35374.15, 35827.664]",-5.49327549312403
"(5, 10]","(-20, -19]","(35827.664, 36281.179]",-5.49327549312403
"(10, 15]","(-20, -19]","(11337.868, 11791.383]",-12.4358369339551
"(10, 15]","(-20, -19]","(11791.383, 12244.898]",-12.4358369339551
"(10, 15]","(-20, -19]","(12244.898, 12698.413]",-12.4358369339551
"(10, 15]","(-20, -19]","(12698.413, 13151.927]",-12.4358369339551
"(10, 15]","(-20, -19]","(13151.927, 13605.442]",-12.4358369339551
"(10, 15]","(-20, -19]","(13605.442, 14058.957]",-12.4358369339551
"(10, 15]","(-20, -19]","(14058.957, 14512.472]",-12.4358369339551
"(10, 15]","(-20, -19]","(14512.472, 14965.986]",-12.4358369339551
"(10, 15]","(-20, -19]","(14965.986, 15419.501]",-12.2594375038626
"(10, 15]","(-20, -19]","(15419.501, 15873.016]",-12.2594375038626
"(10, 15]","(-20, -19]","(15873.016, 16326.531]",-12.2594375038626
"(10, 15]","(-20, -19]","(16326.531, 16780.045]",-12.1724006355229
"(10, 15]","(-20, -19]","(16780.045, 17233.56]",-12.471450144224
"(10, 15]","(-20, -19]","(17233.56, 17687.075]",-12.471450144224
"(10, 15]","(-20, -19]","(17687.075, 18140.59]",-12.471450144224
"(10, 15]","(-20, -19]","(18140.59, 18594.104]",-12.471450144224
"(10, 15]","(-20, -19]","(18594.104, 19047.619]",-12.471450144224
"(10, 15]","(-20, -19]","(19047.619, 19501.134]",-12.471450144224
"(10, 15]","(-20, -19]","(19501.134, 19954.649]",-12.471450144224
"(10, 15]","(-20, -19]","(19954.649, 20408.163]",-12.471450144224
"(10, 15]","(-20, -19]","(20408.163, 20861.678]",-12.471450144224
"(10, 15]","(-20, -19]","(20861.678, 21315.193]",-12.471450144224
"(10, 15]","(-20, -19]","(21315.193, 21768.707]",-12.471450144224
"(10, 15]","(-20, -19]","(21768.707, 22222.222]",-12.471450144224
"(10, 15]","(-20, -19]","(22222.222, 22675.737]",-12.471450144224
"(10, 15]","(-20, -19]","(22675.737, 23129.252]",-12.471450144224
"(10, 15]","(-20, -19]","(23129.252, 23582.766]",-12.4347732592214
"(10, 15]","(-20, -19]","(23582.766, 24036.281]",-12.4347732592214
"(10, 15]","(-20, -19]","(24036.281, 24489.796]",-12.4347732592214
"(10, 15]","(-20, -19]","(24489.796, 24943.311]",-12.7077540092689
"(10, 15]","(-20, -19]","(24943.311, 25396.825]",-12.7077540092689
"(10, 15]","(-20, -19]","(25396.825, 25850.34]",-12.7077540092689
"(10, 15]","(-20, -19]","(25850.34, 26303.855]",-12.7077540092689
"(10, 15]","(-20, -19]","(26303.855, 26757.37]",-12.7077540092689
"(10, 15]","(-20, -19]","(26757.37, 27210.884]",-12.7077540092689
"(10, 15]","(-20, -19]","(27210.884, 27664.399]",-12.7077540092689
"(10, 15]","(-20, -19]","(27664.399, 28117.914]",-12.7077540092689
"(10, 15]","(-20, -19]","(28117.914, 28571.429]",-12.7077540092689
"(10, 15]","(-20, -19]","(28571.429, 29024.943]",-12.7077540092689
"(10, 15]","(-20, -19]","(29024.943, 29478.458]",-12.7077540092689
"(10, 15]","(-20, -19]","(29478.458, 29931.973]",-12.7077540092689
