payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,weightInKg,deliveryType,fleetType
61-b2b1014,1,b2b-39,bulk,unloading,3721,30180,25200,86400,1800,-122.09342390257268,47.80010725846354,3721.0,321100,113000,16329.32532,delivery-only,private
61-db2b39-,2,b2b-39,bulk,loading,3191,40560,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b40,0,b2b-40,bulk,loading,3191,21000,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,16329.32532,delivery-only,
61-b2b1016,1,b2b-40,bulk,unloading,3721,30180,18420,86400,24600,-122.08791532701515,47.806591228382736,3721.0,321100,113000,16329.32532,delivery-only,private
61-db2b40-,2,b2b-40,bulk,loading,3191,63360,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b41,0,b2b-41,bulk,loading,3191,22620,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,13982.43839762,delivery-only,
61-b2b1017,1,b2b-41,bulk,unloading,3721,33600,30120,86400,3000,-122.0906653916517,47.811849415894194,3721.0,321100,113000,6991.21919881,delivery-only,private
61-b2b1015,2,b2b-41,bulk,unloading,3721,38400,38400,86400,1140,-122.07160551466262,47.7889031445172,3721.0,321100,113000,6991.21919881,delivery-only,private
61-db2b41-,3,b2b-41,bulk,loading,3191,48120,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b42,0,b2b-42,bulk,loading,3191,23220,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,16329.32532,delivery-only,
61-b2b1018,1,b2b-42,bulk,unloading,3721,34200,34200,86400,4920,-122.07931945096726,47.798788564853,3721.0,321100,113000,16329.32532,delivery-only,private
61-db2b42-,2,b2b-42,bulk,loading,3191,47700,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b43,0,b2b-43,bulk,loading,3191,21000,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,16329.32532,delivery-only,
61-b2b1020,1,b2b-43,bulk,unloading,3721,30180,28200,86400,8880,-122.0862836845574,47.810186205898525,3721.0,321100,113000,16329.32532,delivery-only,private
61-db2b43-,2,b2b-43,bulk,loading,3191,47640,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b44,0,b2b-44,bulk,loading,3191,21000,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,13982.43839762,delivery-only,
61-b2b1021,1,b2b-44,bulk,unloading,3721,30180,24180,86400,1860,-122.07447808095684,47.78735545583248,3721.0,321100,113000,6991.21919881,delivery-only,private
61-b2b1019,2,b2b-44,bulk,unloading,3721,32400,32400,86400,3120,-122.087066943639,47.79844717368896,3721.0,321100,113000,6991.21919881,delivery-only,private
61-db2b44-,3,b2b-44,bulk,loading,3191,44100,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b45,0,b2b-45,bulk,loading,3191,21000,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,16329.32532,delivery-only,
61-b2b1022,1,b2b-45,bulk,unloading,3721,30180,26460,86400,9960,-122.07458582601537,47.78646763235142,3721.0,321100,113000,16329.32532,delivery-only,private
61-db2b45-,2,b2b-45,bulk,loading,3191,48720,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b46,0,b2b-46,bulk,loading,3191,21000,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,16329.32532,delivery-only,
61-b2b1024,1,b2b-46,bulk,unloading,3721,30180,25620,86400,6840,-122.08008726820066,47.78990851634238,3721.0,321100,113000,16329.32532,delivery-only,private
61-db2b46-,2,b2b-46,bulk,loading,3191,45600,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b47,0,b2b-47,bulk,loading,3191,21000,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,13982.43839762,delivery-only,
61-b2b1025,1,b2b-47,bulk,unloading,3721,30180,19800,86400,1740,-122.0931684890695,47.8075947239647,3721.0,321100,113000,6991.21919881,delivery-only,private
61-b2b1023,2,b2b-47,bulk,unloading,3721,31920,25200,86400,4800,-122.10095324149135,47.808843474867466,3721.0,321100,113000,6991.21919881,delivery-only,private
61-db2b47-,3,b2b-47,bulk,loading,3191,45300,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b48,0,b2b-48,bulk,loading,3191,21000,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,16329.32532,delivery-only,
61-b2b1026,1,b2b-48,bulk,unloading,3721,30180,22020,86400,9660,-122.09109324947327,47.79249710794458,3721.0,321100,113000,16329.32532,delivery-only,private
61-db2b48-,2,b2b-48,bulk,loading,3191,48420,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b49,0,b2b-49,bulk,loading,3191,21000,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,16329.32532,delivery-only,
61-b2b1028,1,b2b-49,bulk,unloading,3721,30180,21240,86400,9360,-122.0807627288854,47.81004105204908,3721.0,321100,113000,16329.32532,delivery-only,private
61-db2b49-,2,b2b-49,bulk,loading,3191,48120,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b50,0,b2b-50,bulk,loading,3191,24660,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,13982.43839762,delivery-only,
61-b2b1029,1,b2b-50,bulk,unloading,3721,35640,32820,86400,960,-122.09346096232728,47.79531669237474,3721.0,321100,113000,6991.21919881,delivery-only,private
61-b2b1027,2,b2b-50,bulk,unloading,3721,38400,38400,86400,2880,-122.1007129391304,47.808034886394,3721.0,321100,113000,6991.21919881,delivery-only,private
61-db2b50-,3,b2b-50,bulk,loading,3191,49860,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b51,0,b2b-51,bulk,loading,3715,32400,0,0,0,-122.16713710154345,47.82189449135689,3715.0,,,16329.32532,delivery-only,
61-b2b981,1,b2b-51,bulk,unloading,5885,51480,23160,100800,1500,-123.12937065688313,44.996098710739325,622.0,325190,113000,16329.32532,delivery-only,private
61-db2b51-,2,b2b-51,bulk,loading,3715,70860,0,0,0,-122.16713710154345,47.82189449135689,3715.0,,,0.0,delivery-only,
61-db2b52,0,b2b-52,bulk,loading,3715,32400,0,0,0,-122.16713710154345,47.82189449135689,3715.0,,,6991.672791180001,delivery-only,
61-b2b982,1,b2b-52,bulk,unloading,5885,51480,31500,100800,2400,-123.12937065688313,44.996098710739325,622.0,325190,113000,6991.672791180001,delivery-only,private
61-db2b52-,2,b2b-52,bulk,loading,3715,71760,0,0,0,-122.16713710154345,47.82189449135689,3715.0,,,0.0,delivery-only,
